Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/asc_sort_timestamp,525,0,45,51.728015321173835,34.30212498642504,424.29883289150894,13582.695238095239,0.7425576367436976,0.0,45,48,50,51,61,83,120,280,420,420,420
POST,PPL Query: big5/asc_sort_timestamp_can_match_shortcut,481,0,49,56.92188937038865,36.19866701774299,1361.7747919633985,13375.852390852391,0.6803242348070829,0.0,49,51,54,55,65,81,130,230,1400,1400,1400
POST,PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,433,0,49,57.98917091408568,37.35545789822936,1009.9338749423623,13373.491916859122,0.6124332508762306,0.0,49,52,54,56,69,97,150,220,1000,1000,1000
POST,PPL Query: big5/asc_sort_with_after_timestamp,481,0,45,50.165314822246685,33.61604199744761,287.2705420013517,13587.918918918918,0.6803242348070829,0.0,45,47,49,51,59,78,130,180,290,290,290
POST,PPL Query: big5/cardinality_agg_high,493,0,43,48.79184973871989,32.23245800472796,299.221791094169,161.0,0.697296980789796,0.0,43,46,48,49,58,76,140,240,300,300,300
POST,PPL Query: big5/cardinality_agg_high copy,459,0,44,52.48694311551474,30.426458921283484,984.9683749489486,161.0,0.6492075338387756,0.0,44,47,49,52,65,95,150,220,980,980,980
POST,PPL Query: big5/cardinality_agg_high_2,477,0,43,50.754269046134915,30.990874860435724,472.0024580601603,161.0,0.6746666528128452,0.0,43,46,48,50,61,84,140,260,470,470,470
POST,PPL Query: big5/cardinality_agg_high_2_optimized,502,0,43,52.66506603150907,32.246417133137584,359.633875079453,161.0,0.7100265402768308,0.0,43,46,48,51,72,97,170,260,360,360,360
POST,PPL Query: big5/cardinality_agg_low,474,0,41,48.71856849709376,31.00795904174447,372.1370829734951,161.0,0.6704234663171669,0.0,41,44,46,49,59,92,140,240,370,370,370
POST,PPL Query: big5/cardinality_agg_low_optimized,425,0,41,49.92635891882374,30.765333212912083,285.6096248142421,161.0,0.6011180868877551,0.0,41,44,47,49,64,110,180,210,290,290,290
POST,PPL Query: big5/composite_date_histogram_daily,476,0,48,57.43064232681244,36.34620807133615,303.6606670357287,204.0,0.6732522573142857,0.0,48,51,53,55,74,110,210,290,300,300,300
POST,PPL Query: big5/composite_terms,501,0,49,57.96420386390103,36.37020802125335,1361.350208055228,258.0,0.7086121447782714,0.0,49,51,54,56,67,86,130,280,1400,1400,1400
POST,PPL Query: big5/composite_terms copy,476,0,56,62.84871871902083,43.94533415324986,414.3465000670403,258.0,0.6732522573142857,0.0,56,58,60,61,70,100,210,280,410,410,410
POST,PPL Query: big5/composite_terms_keyword,438,0,49,54.958557838693125,38.42925000935793,293.2972500566393,337.0,0.6195052283690277,0.0,50,52,54,55,68,85,150,170,290,290,290
POST,PPL Query: big5/composite_terms_keyword_optimized,485,0,55,63.34749493056658,44.56583294086158,482.64362500049174,337.0,0.6859818168013206,0.0,55,58,60,62,71,97,140,310,480,480,480
POST,PPL Query: big5/date_histogram_hourly_agg,499,0,43,51.25528839622103,32.21870795823634,985.5006251018494,263.0,0.7057833537811525,0.0,43,46,48,50,62,78,140,280,990,990,990
POST,PPL Query: big5/date_histogram_minute_agg,456,0,48,55.36288501216883,35.85495799779892,339.41354183480144,204.0,0.6449643473430973,0.0,48,51,53,55,71,100,130,170,340,340,340
POST,PPL Query: big5/default,481,0,41,51.95882000036832,27.321582892909646,344.57933297380805,13422.426195426195,0.6803242348070829,0.0,41,45,48,51,65,88,220,300,340,340,340
POST,PPL Query: big5/desc_sort_timestamp,465,0,45,51.19965922848512,34.501083893701434,446.4188751298934,13427.258064516129,0.6576939068301321,0.0,45,47,50,52,64,91,110,160,450,450,450
POST,PPL Query: big5/desc_sort_timestamp_can_match_shortcut,515,0,49,57.489423543323305,37.70662494935095,1363.732208032161,13542.081553398059,0.7284136817581033,0.0,49,52,55,57,68,92,150,200,1400,1400,1400
POST,PPL Query: big5/desc_sort_timestamp_no_can_match_shortcut,497,0,49,58.60059581026135,37.372958147898316,564.994249958545,13532.965794768612,0.7029545627840337,0.0,49,52,54,57,72,110,190,300,560,560,560
POST,PPL Query: big5/desc_sort_with_after_timestamp,467,0,45,54.78429389973939,33.47766702063382,391.01629122160375,13426.400428265524,0.6605226978272509,0.0,45,48,51,52,72,110,200,280,390,390,390
POST,PPL Query: big5/keyword_in_range,486,0,53,62.226679958422274,41.50633397512138,432.7765421476215,1019.0,0.68739621229988,0.0,53,56,58,61,81,110,190,230,430,430,430
POST,PPL Query: big5/keyword_terms,496,0,50,59.223867002254984,39.691415848210454,565.8628749661148,22581.0,0.7015401672854743,0.0,50,53,55,58,71,93,180,300,570,570,570
POST,PPL Query: big5/keyword_terms_low_cardinality,479,0,48,56.714038185713065,38.66025013849139,420.9372920449823,2461.0,0.6774954438099641,0.0,48,51,54,56,70,110,150,260,420,420,420
POST,PPL Query: big5/keyword_terms_low_cardinality copy,503,0,50,57.59386390273572,39.199291029945016,860.4143329430372,2458.0,0.7114409357753902,0.0,50,53,54,56,67,91,150,200,860,860,860
POST,PPL Query: big5/multi_terms_keyword,504,0,49,58.45461711509242,37.838000105693936,340.00316611491144,258.0,0.7128553312739496,0.0,49,52,54,57,76,110,180,250,340,340,340
POST,PPL Query: big5/multi_terms_keyword_optimmized,484,0,52,59.07896579645405,41.02779203094542,321.9700411427766,258.0,0.6845674213027612,0.0,52,55,57,59,71,88,130,270,320,320,320
POST,PPL Query: big5/query_string_on_message,470,0,47,53.86951137235032,35.42970912531018,564.8762909695506,13970.710638297873,0.6647658843229293,0.0,48,50,52,53,62,79,150,210,560,560,560
POST,PPL Query: big5/query_string_on_message_filtered,487,0,48,57.98810362735537,36.71487490646541,584.2983748298138,1019.0,0.6888106077984394,0.0,48,51,53,54,67,100,220,300,580,580,580
POST,PPL Query: big5/query_string_on_message_filtered_sorted_num,471,0,50,56.430551646605544,39.844665909186006,561.9219159707427,1019.0,0.6661802798214886,0.0,50,52,55,57,66,98,130,170,560,560,560
POST,PPL Query: big5/range,452,0,45,52.89179731090347,33.16733404062688,679.873124929145,1019.0,0.6393067653488596,0.0,45,48,49,51,60,81,160,230,680,680,680
POST,PPL Query: big5/range_field_conjunction_big_range_big_term_query,487,0,44,51.62603380990423,31.67625004425645,355.4631669539958,1019.0,0.6888106077984394,0.0,44,47,49,51,67,95,140,290,360,360,360
POST,PPL Query: big5/range_field_conjunction_small_range_big_term_query,464,0,43,47.40010730065165,32.07870805636048,459.1827909462154,1019.0,0.6562795113315727,0.0,43,45,47,48,54,76,110,160,460,460,460
POST,PPL Query: big5/range_field_conjunction_small_range_small_term_query,470,0,43,50.72451356075149,33.05254178121686,983.372249873355,1019.0,0.6647658843229293,0.0,44,46,48,49,58,77,120,230,980,980,980
POST,PPL Query: big5/range_field_disjunction_big_range_small_term_query,484,0,44,51.882870248538126,32.27858408354223,313.93458298407495,1019.0,0.6845674213027612,0.0,44,47,49,52,66,92,160,250,310,310,310
POST,PPL Query: big5/range_numeric,496,0,42,49.96968434246693,31.037416774779558,592.0132091268897,1019.0,0.7015401672854743,0.0,42,45,47,49,56,81,150,280,590,590,590
POST,PPL Query: big5/range_with_asc_sort,468,0,47,55.563647418907784,35.78041703440249,550.2824580762535,1019.0,0.6619370933258104,0.0,47,50,52,54,67,92,150,280,550,550,550
POST,PPL Query: big5/range_with_desc_sort,480,0,47,59.42297848426582,36.68108303099871,978.7755419965833,1019.0,0.6789098393085234,0.0,47,50,53,58,80,120,210,290,980,980,980
POST,PPL Query: big5/scroll,452,0,41,47.06674334345863,30.371250119060278,310.72937487624586,13426.823008849558,0.6393067653488596,0.0,41,45,47,49,59,69,94,180,310,310,310
POST,PPL Query: big5/sort_keyword_can_match_shortcut,498,0,64,70.54975283440636,52.70829098299146,601.4394159428775,13536.931726907631,0.704368958282593,0.0,64,67,69,71,81,100,140,240,600,600,600
POST,PPL Query: big5/sort_keyword_no_can_match_shortcut,527,0,64,69.6577964632452,51.72608303837478,366.1388331092894,13532.258064516129,0.7453864277408164,0.0,64,67,69,71,82,97,130,230,370,370,370
POST,PPL Query: big5/sort_numeric_asc,483,0,46,52.40468683943739,36.007167072966695,435.01591589301825,12250.409937888198,0.6831530258042018,0.0,46,48,51,53,63,92,130,190,440,440,440
POST,PPL Query: big5/sort_numeric_desc,450,0,47,60.56821407439808,34.85712502151728,467.30737504549325,13542.28,0.6364779743517408,0.0,47,50,53,57,77,120,320,410,470,470,470
POST,PPL Query: big5/term,481,0,42,50.35905231597781,32.28395897895098,340.7676247879863,1019.0,0.6803242348070829,0.0,42,45,47,49,64,91,150,250,340,340,340
