Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/asc_sort_timestamp,481,0,39,40.541131166051954,28.72833306901157,207.6951670460403,13737.295218295218,0.666730945533897,0.0,39,42,44,44,48,53,59,74,210,210,210
POST,PPL Query: big5/asc_sort_timestamp_can_match_shortcut,474,0,40,41.701975476511514,29.867999954149127,251.0500841308385,13538.73417721519,0.657028000380597,0.0,40,43,44,45,48,51,56,65,250,250,250
POST,PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,472,0,39,41.46748146938034,31.338584143668413,282.54662500694394,13534.372881355932,0.6542557303367971,0.0,39,42,43,44,48,51,58,70,280,280,280
POST,PPL Query: big5/asc_sort_with_after_timestamp,479,0,39,41.440842939066336,27.916792081668973,328.9926249999553,13735.141962421712,0.663958675490097,0.0,39,42,43,44,47,50,62,110,330,330,330
POST,PPL Query: big5/cardinality_agg_high,505,0,39,40.17567205344244,29.112334130331874,268.9112911466509,161.0,0.6999981860594968,0.0,39,41,42,43,45,48,53,60,270,270,270
POST,PPL Query: big5/cardinality_agg_high copy,474,0,38,39.024251329964066,29.81120813637972,83.8187918998301,161.0,0.657028000380597,0.0,39,41,42,43,45,48,52,57,84,84,84
POST,PPL Query: big5/cardinality_agg_high_2,474,0,39,40.906500961348605,29.7086660284549,269.4617079105228,161.0,0.657028000380597,0.0,39,41,43,44,46,50,59,170,270,270,270
POST,PPL Query: big5/cardinality_agg_high_2_optimized,507,0,39,41.323201920050955,29.135208809748292,272.0403329003602,161.0,0.7027704561032968,0.0,39,41,43,44,47,54,61,99,270,270,270
POST,PPL Query: big5/cardinality_agg_low,468,0,36,39.59118448094361,23.86566693894565,263.4478339459747,161.0,0.6487111902491971,0.0,36,39,41,42,44,48,59,190,260,260,260
POST,PPL Query: big5/cardinality_agg_low_optimized,521,0,37,38.396922022375975,27.56345900706947,273.5155001282692,161.0,0.7221763464098967,0.0,37,39,41,42,45,47,49,54,270,270,270
POST,PPL Query: big5/composite_date_histogram_daily,468,0,37,38.10107472161643,27.860957896336913,168.45704102888703,204.0,0.6487111902491971,0.0,37,39,41,42,44,50,56,65,170,170,170
POST,PPL Query: big5/composite_terms,429,0,37,39.16005479738481,28.313790913671255,250.36620791070163,258.0,0.5946519243950973,0.0,37,39,41,42,44,47,55,82,250,250,250
POST,PPL Query: big5/composite_terms copy,449,0,37,38.92143765715405,26.986083015799522,254.2703750077635,258.0,0.6223746248330971,0.0,37,39,41,42,45,50,55,64,250,250,250
POST,PPL Query: big5/composite_terms_keyword,540,0,37,39.47650871446563,27.95949997380376,323.42704106122255,337.0,0.7485129118259967,0.0,37,39,41,43,46,50,62,100,320,320,320
