Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,26.68% faster,22500,22587,47,38,23.68%,55.39112924352909,40.61016703829203,36.40%,27.321582892909646,23.86566693894565,14.48%,1363.732208032161,361.68954195454717,277.04%,93,53,75.47%,250,68,267.65%,31.82389871758704,31.30863173965516,1.65%,0,0
PPL Query: big5/asc_sort_timestamp,"source = big5
| sort + `@timestamp`
| head 10",Non-Calcite,21.63% faster,525,481,45,39,15.38%,51.728015321173835,40.541131166051954,27.59%,34.30212498642504,28.72833306901157,19.40%,424.29883289150894,207.6951670460403,104.29%,83,53,56.60%,280,74,278.38%,0.7425576367436976,0.666730945533897,11.37%,0,0
PPL Query: big5/asc_sort_timestamp_can_match_shortcut,"source = big5 process.name=kernel
| sort + `@timestamp`
| head 10",Non-Calcite,26.74% faster,481,474,49,40,22.50%,56.92188937038865,41.701975476511514,36.50%,36.19866701774299,29.867999954149127,21.20%,1361.7747919633985,251.0500841308385,442.43%,81,51,58.82%,230,65,253.85%,0.6803242348070829,0.657028000380597,3.55%,0,0
PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,"source = big5 process.name=kernel
| sort + `@timestamp`
| head 10",Non-Calcite,28.49% faster,433,472,49,39,25.64%,57.98917091408568,41.46748146938034,39.84%,37.35545789822936,31.338584143668413,19.20%,1009.9338749423623,282.54662500694394,257.44%,97,51,90.20%,220,70,214.29%,0.6124332508762306,0.6542557303367971,-6.39%,0,0
PPL Query: big5/asc_sort_with_after_timestamp,"source = big5
| sort + `@timestamp`
| head 10",Non-Calcite,17.39% faster,481,479,45,39,15.38%,50.165314822246685,41.440842939066336,21.05%,33.61604199744761,27.916792081668973,20.42%,287.2705420013517,328.9926249999553,-12.68%,78,50,56.00%,180,110,63.64%,0.6803242348070829,0.663958675490097,2.46%,0,0
PPL Query: big5/cardinality_agg_high,"source = big5
| stats dc(`agent.name`)",Non-Calcite,17.66% faster,493,505,43,39,10.26%,48.79184973871989,40.17567205344244,21.45%,32.23245800472796,29.112334130331874,10.72%,299.221791094169,268.9112911466509,11.27%,76,48,58.33%,240,60,300.00%,0.697296980789796,0.6999981860594968,-0.39%,0,0
PPL Query: big5/cardinality_agg_high copy,"source = big5
| stats bucket_nullable = false dc(`agent.name`)",Non-Calcite,25.65% faster,459,474,44,38,15.79%,52.48694311551474,39.024251329964066,34.50%,30.426458921283484,29.81120813637972,2.06%,984.9683749489486,83.8187918998301,1075.12%,95,48,97.92%,220,57,285.96%,0.6492075338387756,0.657028000380597,-1.19%,0,0
PPL Query: big5/cardinality_agg_high_2,"source = big5
| stats dc(`event.id`)",Non-Calcite,19.40% faster,477,474,43,39,10.26%,50.754269046134915,40.906500961348605,24.07%,30.990874860435724,29.7086660284549,4.32%,472.0024580601603,269.4617079105228,75.16%,84,50,68.00%,260,170,52.94%,0.6746666528128452,0.657028000380597,2.68%,0,0
PPL Query: big5/cardinality_agg_high_2_optimized,"source = big5
| stats bucket_nullable = false dc(`event.id`)",Non-Calcite,21.54% faster,502,507,43,39,10.26%,52.66506603150907,41.323201920050955,27.45%,32.246417133137584,29.135208809748292,10.68%,359.633875079453,272.0403329003602,32.20%,97,54,79.63%,260,99,162.63%,0.7100265402768308,0.7027704561032968,1.03%,0,0
PPL Query: big5/cardinality_agg_low,"source = big5
| stats dc(`cloud.region`)",Non-Calcite,18.73% faster,474,468,41,36,13.89%,48.71856849709376,39.59118448094361,23.05%,31.00795904174447,23.86566693894565,29.93%,372.1370829734951,263.4478339459747,41.26%,92,48,91.67%,240,190,26.32%,0.6704234663171669,0.6487111902491971,3.35%,0,0
PPL Query: big5/cardinality_agg_low_optimized,"source = big5
| stats bucket_nullable = false dc(`cloud.region`)",Non-Calcite,23.09% faster,425,521,41,37,10.81%,49.92635891882374,38.396922022375975,30.03%,30.765333212912083,27.56345900706947,11.62%,285.6096248142421,273.5155001282692,4.42%,110,47,134.04%,210,54,288.89%,0.6011180868877551,0.7221763464098967,-16.76%,0,0
PPL Query: big5/composite_date_histogram_daily,"source = big5
| where `@timestamp` >= '2022-12-30 00:00:00' and `@timestamp` < '2023-01-07 12:00:00'
| stats count() by span(`@timestamp`, 1d)",Non-Calcite,33.66% faster,476,468,48,37,29.73%,57.43064232681244,38.10107472161643,50.73%,36.34620807133615,27.860957896336913,30.46%,303.6606670357287,168.45704102888703,80.26%,110,50,120.00%,290,65,346.15%,0.6732522573142857,0.6487111902491971,3.78%,0,0
PPL Query: big5/composite_terms,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats count() by `process.name`, `cloud.region`
| sort - `process.name`, + `cloud.region`",Non-Calcite,32.44% faster,501,429,49,37,32.43%,57.96420386390103,39.16005479738481,48.02%,36.37020802125335,28.313790913671255,28.45%,1361.350208055228,250.36620791070163,443.74%,86,47,82.98%,280,82,241.46%,0.7086121447782714,0.5946519243950973,19.16%,0,0
PPL Query: big5/composite_terms copy,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats bucket_nullable = false count() by `process.name`, `cloud.region`
| sort - `process.name`, + `cloud.region`",Non-Calcite,38.07% faster,476,449,56,37,51.35%,62.84871871902083,38.92143765715405,61.48%,43.94533415324986,26.986083015799522,62.84%,414.3465000670403,254.2703750077635,62.96%,100,50,100.00%,280,64,337.50%,0.6732522573142857,0.6223746248330971,8.17%,0,0
PPL Query: big5/composite_terms_keyword,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats count() by `process.name`, `cloud.region`, `aws.cloudwatch.log_stream`
| sort - `process.name`, + `cloud.region`, + `aws.cloudwatch.log_stream`",Non-Calcite,28.17% faster,438,540,49,37,32.43%,54.958557838693125,39.47650871446563,39.22%,38.42925000935793,27.95949997380376,37.45%,293.2972500566393,323.42704106122255,-9.32%,85,50,70.00%,170,100,70.00%,0.6195052283690277,0.7485129118259967,-17.24%,0,0
PPL Query: big5/composite_terms_keyword_optimized,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats bucket_nullable = false count() by `process.name`, `cloud.region`, `aws.cloudwatch.log_stream`
| sort - `process.name`, + `cloud.region`, + `aws.cloudwatch.log_stream`",Non-Calcite,39.89% faster,485,446,55,37,48.65%,63.34749493056658,38.08038696832537,66.35%,44.56583294086158,28.94354215823114,53.98%,482.64362500049174,169.28224987350404,185.11%,97,48,102.08%,310,56,453.57%,0.6859818168013206,0.6182162197673972,10.96%,0,0
PPL Query: big5/date_histogram_hourly_agg,"source = big5
| stats count() by span(`@timestamp`, 1h)",Non-Calcite,24.21% faster,499,478,43,37,16.22%,51.25528839622103,38.84759435048288,31.94%,32.21870795823634,25.50454204902053,26.33%,985.5006251018494,322.05770909786224,206.00%,78,49,59.18%,280,62,351.61%,0.7057833537811525,0.662572540468197,6.52%,0,0
PPL Query: big5/date_histogram_minute_agg,"source = big5
| where `@timestamp` >= '2023-01-01 00:00:00' and `@timestamp` < '2023-01-03 00:00:00'
| stats count() by span(`@timestamp`, 1m)",Non-Calcite,29.98% faster,456,470,48,36,33.33%,55.36288501216883,38.7654764211162,42.81%,35.85495799779892,27.1765838842839,31.93%,339.41354183480144,253.52549995295703,33.88%,100,48,108.33%,170,61,178.69%,0.6449643473430973,0.6514834602929971,-1.00%,0,0
PPL Query: big5/default,"source = big5
| head 10",Non-Calcite,24.29% faster,481,503,41,37,10.81%,51.95882000036832,39.33968521778659,32.08%,27.321582892909646,28.15195801667869,-2.95%,344.57933297380805,268.5300000011921,28.32%,88,48,83.33%,300,90,233.33%,0.6803242348070829,0.6972259160156968,-2.42%,0,0
PPL Query: big5/desc_sort_timestamp,"source = big5
| sort - `@timestamp`
| head 10",Non-Calcite,18.75% faster,465,488,45,39,15.38%,51.19965922848512,41.600061303336695,23.08%,34.501083893701434,26.19154192507267,31.73%,446.4188751298934,361.68954195454717,23.43%,91,50,82.00%,160,82,95.12%,0.6576939068301321,0.676433890687197,-2.77%,0,0
PPL Query: big5/desc_sort_timestamp_can_match_shortcut,"source = big5 process.name=kernel
| sort - `@timestamp`
| head 10",Non-Calcite,27.87% faster,515,463,49,40,22.50%,57.489423543323305,41.46999204038495,38.63%,37.70662494935095,31.55112499371171,19.51%,1363.732208032161,258.35370901040733,427.85%,92,52,76.92%,200,60,233.33%,0.7284136817581033,0.6417805151396971,13.50%,0,0
