Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/asc_sort_timestamp,1062,0,20,20.71013590490229,15.809457999239385,357.74687499997526,13579.937853107345,0.7085074467962954,0.0,20,21,21,22,23,24,26,32,110,360,360
POST,PPL Query: big5/asc_sort_timestamp_can_match_shortcut,1005,0,24,24.55531562787402,19.417917000282614,344.0954999996393,13380.041791044776,0.6704802109512965,0.0,24,24,25,26,27,28,29,33,190,340,340
POST,PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,1023,0,24,24.599035645163465,19.694208999680995,180.36141600032352,13378.139784946237,0.682488811744454,0.0,24,25,25,26,27,28,30,42,140,180,180
POST,PPL Query: big5/asc_sort_with_after_timestamp,982,0,20,20.647566162939874,15.702749999945809,342.47558399965783,13580.513238289206,0.6551358877155952,0.0,20,21,22,22,23,24,26,29,340,340,340
POST,PPL Query: big5/cardinality_agg_high,980,0,19,19.732197241844506,14.616084000408591,321.797874999902,161.0,0.6538015987385777,0.0,19,19,20,21,22,22,24,30,320,320,320
POST,PPL Query: big5/cardinality_agg_high copy,993,0,18,19.128426265856024,14.591000000109489,199.51037499959057,161.0,0.6624744770891914,0.0,18,19,20,21,22,23,25,32,200,200,200
POST,PPL Query: big5/cardinality_agg_high_2,994,0,19,19.32462735412564,14.55629200063413,192.45712500014633,161.0,0.6631416215777002,0.0,19,19,20,21,21,22,24,30,190,190,190
POST,PPL Query: big5/cardinality_agg_high_2_optimized,957,0,19,20.193077237195805,14.525208000122802,339.3090839999786,161.0,0.6384572755028763,0.0,19,20,20,21,22,23,25,31,340,340,340
POST,PPL Query: big5/cardinality_agg_low,999,0,16,17.10048819619384,12.521916999958194,337.6880420000816,161.0,0.666477344020244,0.0,16,17,18,18,19,20,22,24,340,340,340
POST,PPL Query: big5/cardinality_agg_low_optimized,984,0,16,16.74821837297059,12.399499999901309,61.089791000085825,161.0,0.6564701766926127,0.0,16,17,18,18,20,20,21,23,61,61,61
POST,PPL Query: big5/composite_date_histogram_daily,960,0,22,23.05727883333854,18.459332999555045,201.56004099953861,204.0,0.6404587089684026,0.0,22,23,24,25,25,26,28,33,200,200,200
POST,PPL Query: big5/composite_terms,956,0,24,24.907216881789665,18.920665999758057,333.5334169996713,258.0,0.6377901310143675,0.0,24,25,25,26,27,28,30,38,330,330,330
POST,PPL Query: big5/composite_terms copy,981,0,30,30.681629790016906,25.742499999978463,144.53083300031722,258.0,0.6544687432270864,0.0,30,31,32,32,33,34,37,43,140,140,140
POST,PPL Query: big5/composite_terms_keyword,961,0,24,24.270344570245456,20.00812499954918,57.96641699998872,337.0,0.6411258534569113,0.0,24,25,26,26,27,28,30,35,58,58,58
POST,PPL Query: big5/composite_terms_keyword_optimized,974,0,31,32.069441034914036,26.137040999856254,354.2494590001297,337.0,0.6497987318075251,0.0,31,32,32,33,34,35,38,43,350,350,350
POST,PPL Query: big5/date_histogram_hourly_agg,1008,0,17,18.442377757945373,13.285209000059695,348.5048749998896,263.0,0.6724816444168227,0.0,17,18,19,20,21,22,24,28,190,350,350
POST,PPL Query: big5/date_histogram_minute_agg,929,0,22,23.558579673851824,18.21025000026566,336.9003750003685,204.0,0.6197772298246312,0.0,22,23,24,25,26,27,33,39,340,340,340
POST,PPL Query: big5/default,982,0,18,18.51456193888053,13.425707999886072,333.57183399948553,13427.244399185336,0.6551358877155952,0.0,18,18,19,20,21,22,23,28,330,330,330
POST,PPL Query: big5/desc_sort_timestamp,918,0,20,21.046447274522393,15.824292000161222,341.87925000060204,13427.435729847495,0.612438640451035,0.0,20,21,21,22,23,24,27,29,340,340,340
POST,PPL Query: big5/desc_sort_timestamp_can_match_shortcut,992,0,24,24.79837930343044,19.810374999906344,330.5317089998425,13535.064516129032,0.6618073326006827,0.0,24,25,25,26,27,28,29,35,330,330,330
POST,PPL Query: big5/desc_sort_timestamp_no_can_match_shortcut,1000,0,24,24.771498347973647,19.709791999957815,345.4441660005614,13539.48,0.6671444885087527,0.0,24,25,26,26,27,28,31,36,350,350,350
POST,PPL Query: big5/desc_sort_with_after_timestamp,987,0,20,20.811553165160827,15.93741700071405,349.1597089996503,13426.311043566362,0.6584716101581389,0.0,20,21,22,22,23,24,27,31,350,350,350
POST,PPL Query: big5/keyword_in_range,1005,0,28,28.55790800596462,23.562709000088944,345.40170899981604,1019.0,0.6704802109512965,0.0,28,29,29,30,31,32,37,42,79,350,350
POST,PPL Query: big5/keyword_terms,966,0,25,26.098413134578564,21.40858400025536,184.65000000014697,22581.0,0.6444615758994551,0.0,25,26,27,27,29,29,32,37,180,180,180
POST,PPL Query: big5/keyword_terms_low_cardinality,971,0,24,25.05394231512085,20.491457999924023,181.89879199962888,2461.0,0.6477972983419988,0.0,24,25,26,26,27,28,30,34,180,180,180
POST,PPL Query: big5/keyword_terms_low_cardinality copy,955,0,25,26.226429892155434,20.670541000072262,362.2918330001994,2458.0,0.6371229865258589,0.0,25,26,27,27,28,29,30,31,360,360,360
POST,PPL Query: big5/multi_terms_keyword,996,0,24,24.848614329320604,19.775208000282873,327.6010839999799,258.0,0.6644759105547177,0.0,24,25,26,26,27,28,32,40,330,330,330
POST,PPL Query: big5/multi_terms_keyword_optimmized,1026,0,27,28.390694042890118,22.30704099929426,341.7485410000154,258.0,0.6844902452099803,0.0,27,28,29,29,31,32,35,41,210,340,340
POST,PPL Query: big5/query_string_on_message,962,0,22,23.499155613328973,17.620042000089597,359.97137499998644,13969.37422037422,0.6417929979454201,0.0,22,23,24,24,25,26,30,48,360,360,360
POST,PPL Query: big5/query_string_on_message_filtered,1054,0,23,23.596711000946673,18.632457999956387,195.48437499997817,1019.0,0.7031702908882254,0.0,23,24,24,25,26,27,30,34,180,200,200
POST,PPL Query: big5/query_string_on_message_filtered_sorted_num,1009,0,25,26.538224687822876,20.948999999745865,351.2635000006412,1019.0,0.6731487889053315,0.0,25,26,27,27,28,30,32,35,350,350,350
POST,PPL Query: big5/range,1024,0,20,20.78270397850801,15.515458000663784,333.79462499942747,1019.0,0.6831559562329628,0.0,20,20,21,22,23,23,26,32,190,330,330
POST,PPL Query: big5/range_field_conjunction_big_range_big_term_query,950,0,18,19.771667531570195,14.32854100039549,360.06654199991317,1019.0,0.6337872640833151,0.0,18,19,20,20,21,22,24,30,360,360,360
POST,PPL Query: big5/range_field_conjunction_small_range_big_term_query,1035,0,18,18.80523423479262,14.095084000018687,341.4615830006369,1019.0,0.6904945456065591,0.0,18,19,19,20,21,22,24,29,200,340,340
POST,PPL Query: big5/range_field_conjunction_small_range_small_term_query,995,0,18,19.23126069949689,14.545500000167522,331.8949580007029,1019.0,0.663808766066209,0.0,18,19,20,20,21,22,24,32,330,330,330
POST,PPL Query: big5/range_field_disjunction_big_range_small_term_query,1013,0,18,18.730400435363144,14.36879199991381,111.28587499979403,1019.0,0.6758173668593664,0.0,18,19,20,20,21,22,23,27,61,110,110
POST,PPL Query: big5/range_numeric,993,0,18,18.24473620747107,14.13216699984332,87.32341699987956,1019.0,0.6624744770891914,0.0,18,19,19,20,21,22,23,25,87,87,87
POST,PPL Query: big5/range_with_asc_sort,1020,0,22,22.31503746763391,17.239540999980818,354.89987499931885,1019.0,0.6804873782789278,0.0,22,23,23,24,25,26,28,33,61,350,350
POST,PPL Query: big5/range_with_desc_sort,963,0,22,22.238656023889657,17.372290999446705,221.66604199992435,1019.0,0.6424601424339288,0.0,22,22,23,24,25,26,28,35,220,220,220
POST,PPL Query: big5/scroll,949,0,18,18.52874926659921,14.05212500003472,337.2924999994211,13427.547945205479,0.6331201195948063,0.0,18,19,19,20,21,22,24,25,340,340,340
POST,PPL Query: big5/sort_keyword_can_match_shortcut,1024,0,39,39.83388652636899,34.79141699972388,374.6817090004697,13538.265625,0.6831559562329628,0.0,39,40,41,41,42,43,45,46,160,370,370
POST,PPL Query: big5/sort_keyword_no_can_match_shortcut,985,0,39,39.75311548628856,34.87512499987133,359.37674999968294,13537.059898477157,0.6571373211811214,0.0,39,40,40,41,42,43,45,47,360,360,360
POST,PPL Query: big5/sort_numeric_asc,948,0,22,22.143379183533874,17.69916600005672,57.332374999532476,12250.4388185654,0.6324529751062976,0.0,22,23,23,24,25,26,28,33,57,57,57
POST,PPL Query: big5/sort_numeric_desc,983,0,22,22.822294418102896,18.125957999927778,348.18616600023233,13544.918616480163,0.6558030322041039,0.0,22,23,24,24,25,26,29,34,350,350,350
POST,PPL Query: big5/term,954,0,18,18.94104704192528,13.543875000323169,349.1033749996859,1019.0,0.6364558420373501,0.0,18,19,19,20,21,22,24,32,350,350,350
POST,PPL Query: big5/terms_significant_1,1003,0,23,23.689372169493968,18.96633300020767,221.3012920001347,271.0,0.6691459219742789,0.0,23,24,25,25,26,27,29,31,190,220,220
POST,PPL Query: big5/terms_significant_2,936,0,22,22.559045804478064,17.624291999709385,361.22495800009347,271.0,0.6244472412441925,0.0,22,23,23,24,25,26,30,35,360,360,360
,Aggregated,46346,0,22,23.222885480539027,12.399499999901309,374.6817090004697,5211.264726189963,30.919478464426653,0.0,22,24,25,26,29,36,40,42,200,360,370
