Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/asc_sort_timestamp,322,0,7,7.678544869568835,2.9047909993096255,25.938332997611724,13255.0,0.3575665691573325,0.0,7,8,9,9,13,15,17,19,26,26,26
POST,PPL Query: big5/asc_sort_timestamp_can_match_shortcut,374,0,12,13.108483299502186,5.595290997007396,31.182750000880333,13405.0,0.4153102387106905,0.0,12,14,15,17,20,23,26,27,31,31,31
POST,PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,362,0,12,12.813314939415335,5.636500001855893,30.777959000261035,13405.0,0.4019847765060694,0.0,12,13,15,16,19,24,26,27,31,31,31
POST,PPL Query: big5/asc_sort_with_after_timestamp,370,0,7,7.836039554083097,3.2102090008265804,20.504042000538902,13255.0,0.4108684179758168,0.0,7,8,9,10,12,16,18,19,21,21,21
POST,PPL Query: big5/cardinality_agg_high,338,0,5,5.87516207692258,2.0665840020228643,25.31779200035089,160.0,0.37533385209682724,0.0,5,6,7,8,9,11,14,16,25,25,25
POST,PPL Query: big5/cardinality_agg_high copy,375,0,5,5.866719645370419,2.2808749999967404,15.63604100010707,160.0,0.41642069389440894,0.0,5,6,7,7,10,11,14,15,16,16,16
POST,PPL Query: big5/cardinality_agg_high_2,386,0,5,6.1347577641287945,2.211416998761706,18.077958000503713,158.0,0.4286357009153116,0.0,5,6,7,7,10,13,16,18,18,18,18
POST,PPL Query: big5/cardinality_agg_high_2_optimized,344,0,6,6.685712825708114,2.1838749999005813,57.196415998987504,158.0,0.3819965831991378,0.0,6,7,8,9,11,13,15,18,57,57,57
POST,PPL Query: big5/cardinality_agg_low,364,0,5,6.052032618014722,2.0960830006515607,17.080457999327336,161.0,0.4042056868735063,0.0,5,6,7,8,10,12,14,15,17,17,17
POST,PPL Query: big5/cardinality_agg_low_optimized,370,0,5,5.801246272902652,2.1964170009596273,22.47308299956785,161.0,0.4108684179758168,0.0,5,6,6,7,10,12,15,18,22,22,22
POST,PPL Query: big5/composite_date_histogram_daily,326,0,11,12.101919966267046,4.888832998403814,30.398750001040753,261.0,0.3620083898922062,0.0,11,12,14,14,19,22,26,27,30,30,30
POST,PPL Query: big5/composite_terms,373,0,11,12.325708973117315,5.408042001363356,29.00108399990131,258.0,0.41419978352697207,0.0,11,13,14,15,19,23,25,27,29,29,29
POST,PPL Query: big5/composite_terms copy,371,0,17,18.500191601085216,8.82120900132577,54.56070799846202,258.0,0.41197887315953524,0.0,17,19,21,23,26,31,35,39,55,55,55
POST,PPL Query: big5/composite_terms_keyword,350,0,11,12.203183097106896,5.533334002393531,30.81758299958892,337.0,0.38865931430144834,0.0,11,13,14,15,18,21,24,26,31,31,31
