Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/asc_sort_timestamp,387,0,7,7.213993423826089,1.8052079994959058,88.10379200076568,13415.0,0.42939385393723417,0.0,7,8,9,10,11,12,15,18,88,88,88
POST,PPL Query: big5/asc_sort_timestamp_can_match_shortcut,383,0,10,9.5507089868993,2.898458000345272,21.552166999754263,13565.0,0.42495567456837385,0.0,10,11,11,12,14,15,18,20,22,22,22
POST,PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,369,0,10,9.789731051509952,2.8562080005940516,21.220624999841675,13565.0,0.4094220467773628,0.0,10,11,12,13,15,16,18,19,21,21,21
POST,PPL Query: big5/asc_sort_with_after_timestamp,356,0,6,6.859211485998764,1.7991250006161863,17.600958000912215,13415.0,0.39499796382856683,0.0,6,8,8,9,11,13,15,17,18,18,18
POST,PPL Query: big5/cardinality_agg_high,411,0,5,5.259228099791212,1.2861249997513369,46.42341699945973,160.0,0.45602293015039597,0.0,5,6,7,7,8,10,12,13,46,46,46
POST,PPL Query: big5/cardinality_agg_high copy,345,0,5,5.544746376735798,1.487499999711872,27.585207999436534,160.0,0.38279297056420103,0.0,5,6,7,7,9,10,13,14,28,28,28
POST,PPL Query: big5/cardinality_agg_high_2,370,0,5,5.684938297334255,1.5093750007508788,14.112000000750413,158.0,0.4105315916195779,0.0,5,6,7,7,9,11,12,13,14,14,14
POST,PPL Query: big5/cardinality_agg_high_2_optimized,367,0,5,5.95099064855452,1.270999999178457,65.49012499999662,158.0,0.40720295709293264,0.0,5,7,7,8,9,12,13,14,65,65,65
POST,PPL Query: big5/cardinality_agg_low,353,0,5,5.584890473102097,1.2761250000039581,92.46362500016403,161.0,0.3916693293019216,0.0,5,6,7,7,9,10,11,12,92,92,92
POST,PPL Query: big5/cardinality_agg_low_optimized,384,0,5,5.589735874982201,1.3434170014079427,18.82020800076134,161.0,0.42606521941058895,0.0,5,6,7,8,9,11,13,13,19,19,19
POST,PPL Query: big5/composite_date_histogram_daily,341,0,6,6.92432943687784,2.2407500000554137,79.99525000013818,261.0,0.3783547911953407,0.0,6,8,8,9,10,13,15,17,80,80,80
POST,PPL Query: big5/composite_terms,368,0,6,6.49194066574202,1.6277919985441258,17.490583000835613,258.0,0.40831250193514773,0.0,6,7,8,9,10,12,14,15,17,17,17
POST,PPL Query: big5/composite_terms copy,349,0,6,6.548016117506483,1.5094170012162067,17.84570800009533,258.0,0.3872311499330613,0.0,6,7,8,9,11,12,14,16,18,18,18
POST,PPL Query: big5/composite_terms_keyword,339,0,6,6.737366666634054,1.6048749985202448,30.30091700020421,337.0,0.3761357015109106,0.0,6,8,8,9,10,13,17,19,30,30,30
