Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/asc_sort_timestamp,1039,0,18,18.110368230982616,12.976500000149827,95.49991600033536,13742.772858517805,0.6929740828698648,0.0,18,19,20,20,21,21,22,23,46,95,95
POST,PPL Query: big5/asc_sort_timestamp_can_match_shortcut,987,0,19,19.665774398189917,13.356667000152811,342.3412920001283,13538.580547112462,0.6582920305991883,0.0,19,20,20,21,22,22,24,29,340,340,340
POST,PPL Query: big5/asc_sort_timestamp_no_can_match_shortcut,1014,0,19,19.491872404342924,13.720416000069235,330.929875000038,13536.994082840236,0.6763000192781934,0.0,19,20,20,21,22,22,25,32,180,330,330
POST,PPL Query: big5/asc_sort_with_after_timestamp,1000,0,18,21.456127878006555,13.018999999985681,1549.5276250003371,13742.0,0.6669625436668574,0.0,18,19,20,20,21,22,23,28,1500,1500,1500
POST,PPL Query: big5/cardinality_agg_high,1023,0,18,18.937053678404347,12.827165999624413,783.920792000572,161.0,0.6823026821711952,0.0,18,19,19,20,21,21,23,25,120,780,780
POST,PPL Query: big5/cardinality_agg_high copy,928,0,18,18.255948202585355,12.754375000440632,196.0584580001523,161.0,0.6189412405228437,0.0,18,19,19,20,21,22,24,28,200,200,200
POST,PPL Query: big5/cardinality_agg_high_2,992,0,18,18.974868749998837,12.946417000421206,343.1689999997616,161.0,0.6616268433175225,0.0,18,19,20,20,21,22,25,29,340,340,340
POST,PPL Query: big5/cardinality_agg_high_2_optimized,1013,0,18,19.278440911171913,12.814124999749765,376.54783400012093,161.0,0.6756330567345266,0.0,18,19,19,20,21,21,23,24,340,380,380
POST,PPL Query: big5/cardinality_agg_low,1025,0,15,16.70552881854347,10.786208999888913,624.5744580000974,161.0,0.6836366072585288,0.0,15,17,17,18,19,19,21,23,190,620,620
POST,PPL Query: big5/cardinality_agg_low_optimized,992,0,15,17.279451857863506,10.999083000569954,1385.6612910003605,161.0,0.6616268433175225,0.0,15,17,17,18,18,19,20,23,1400,1400,1400
POST,PPL Query: big5/composite_date_histogram_daily,967,0,16,16.399018463292688,11.380750000171247,177.29379199954565,204.0,0.6449527797258511,0.0,16,17,18,18,19,20,21,23,180,180,180
POST,PPL Query: big5/composite_terms,1001,0,16,16.560556927070355,11.353832999702718,224.92037499978323,258.0,0.6676295062105243,0.0,16,17,18,18,19,20,22,25,100,220,220
POST,PPL Query: big5/composite_terms copy,973,0,16,18.155539865367334,11.607749999711814,349.2362500001036,258.0,0.6489545549878523,0.0,16,17,18,18,19,20,22,32,350,350,350
POST,PPL Query: big5/composite_terms_keyword,997,0,16,16.585108022085123,11.25899999988178,187.35500000002503,337.0,0.6649616560358569,0.0,16,17,18,18,19,20,23,27,190,190,190
POST,PPL Query: big5/composite_terms_keyword_optimized,997,0,16,16.877501011042412,11.418166999646928,345.93949999998586,337.0,0.6649616560358569,0.0,16,17,18,18,19,20,21,26,350,350,350
POST,PPL Query: big5/date_histogram_hourly_agg,1030,0,16,16.142469855336476,11.451084000327683,60.4974999996557,263.0,0.6869714199768632,0.0,16,17,18,18,19,20,21,24,47,60,60
POST,PPL Query: big5/date_histogram_minute_agg,930,0,16,16.870410274187115,11.117166000076395,339.886333999857,204.0,0.6202751656101774,0.0,16,17,18,18,19,20,21,25,340,340,340
POST,PPL Query: big5/default,959,0,17,18.202900805008312,12.59270800073864,342.60058299969387,13588.126173096976,0.6396170793765162,0.0,17,18,19,19,20,21,23,31,340,340,340
POST,PPL Query: big5/desc_sort_timestamp,967,0,18,18.126305581183594,12.981417000446527,94.50350000042818,13587.785935884178,0.6449527797258511,0.0,18,19,20,20,21,21,22,24,95,95,95
POST,PPL Query: big5/desc_sort_timestamp_can_match_shortcut,950,0,19,19.77046141894741,13.838916999702633,340.9535830005552,13693.06947368421,0.6336144164835146,0.0,19,20,21,21,22,23,24,31,340,340,340
POST,PPL Query: big5/desc_sort_timestamp_no_can_match_shortcut,918,0,19,19.371551942275918,13.565459000346891,334.2089160005344,13689.681917211328,0.6122716150861751,0.0,19,20,20,21,22,23,26,32,330,330,330
POST,PPL Query: big5/desc_sort_with_after_timestamp,1051,0,18,18.901990956235405,13.163625000743195,357.3619580001832,13586.048525214082,0.7009776333938671,0.0,18,19,20,20,21,22,24,31,200,360,360
POST,PPL Query: big5/keyword_in_range,945,0,16,19.35108288782729,11.431916999754321,875.18637499943,1019.0,0.6302796037651802,0.0,16,17,18,18,19,20,26,46,880,880,880
POST,PPL Query: big5/keyword_terms,981,0,24,25.998725979604206,18.94324999921082,1547.8215419998378,22570.0,0.6542902553371871,0.0,24,25,26,26,27,28,29,30,1500,1500,1500
POST,PPL Query: big5/keyword_terms_low_cardinality,957,0,22,22.01861363218739,16.919791999498557,107.17300000032992,2453.0,0.6382831542891826,0.0,22,23,23,24,25,25,27,31,110,110,110
POST,PPL Query: big5/keyword_terms_low_cardinality copy,942,0,22,22.13732700214863,16.645749999952386,199.97837500068272,2456.0,0.6282787161341796,0.0,22,23,23,24,25,26,28,34,200,200,200
POST,PPL Query: big5/multi_terms_keyword,952,0,16,16.99707815018768,11.419583999668248,326.6841670001668,258.0,0.6349483415708482,0.0,16,17,18,18,19,20,21,24,330,330,330
POST,PPL Query: big5/multi_terms_keyword_optimmized,1027,0,16,18.19720428237972,11.526917000082904,879.1972919998443,258.0,0.6849705323458626,0.0,16,17,18,18,19,20,21,22,850,880,880
POST,PPL Query: big5/query_string_on_message,1007,0,19,19.02375293743757,13.622333000057552,86.07991700046114,14131.101290963257,0.6716312814725254,0.0,19,20,20,21,22,22,24,30,58,86,86
POST,PPL Query: big5/query_string_on_message_filtered,979,0,16,17.151432990793516,11.370750000423868,365.98845800017443,1019.0,0.6529563302498534,0.0,16,17,18,18,19,20,21,27,370,370,370
POST,PPL Query: big5/query_string_on_message_filtered_sorted_num,1027,0,16,16.545224509249884,11.50258399957238,189.844708000237,1019.0,0.6849705323458626,0.0,16,17,18,18,19,20,21,23,50,190,190
POST,PPL Query: big5/range,1028,0,16,16.421230123531288,11.239875000683242,195.1682909993906,1019.0,0.6856374948895294,0.0,16,17,17,18,19,20,21,28,95,200,200
POST,PPL Query: big5/range_field_conjunction_big_range_big_term_query,1014,0,16,17.74610273566397,11.132667000310903,1384.8499169998831,1019.0,0.6763000192781934,0.0,16,17,18,18,19,19,21,24,200,1400,1400
POST,PPL Query: big5/range_field_conjunction_small_range_big_term_query,1002,0,16,16.603093097798453,11.028874999283289,342.88554199974897,1019.0,0.6682964687541911,0.0,16,17,17,18,19,19,21,24,330,340,340
POST,PPL Query: big5/range_field_conjunction_small_range_small_term_query,985,0,16,16.65660907917858,11.040416000469122,317.2063749998415,1019.0,0.6569581055118545,0.0,16,17,18,18,19,20,21,24,320,320,320
POST,PPL Query: big5/range_field_disjunction_big_range_small_term_query,981,0,16,17.04091074208323,11.260375000347267,346.982625000237,1019.0,0.6542902553371871,0.0,16,17,18,18,19,20,21,26,350,350,350
POST,PPL Query: big5/range_numeric,987,0,16,18.023604273540037,10.930417000054149,437.16787500034116,1019.0,0.6582920305991883,0.0,16,17,17,18,19,19,22,38,440,440,440
POST,PPL Query: big5/range_with_asc_sort,957,0,16,17.92998754964034,11.261707999437931,855.6813329996658,1019.0,0.6382831542891826,0.0,16,17,18,18,19,20,21,22,860,860,860
POST,PPL Query: big5/range_with_desc_sort,1000,0,16,16.65965557999516,11.331874999996217,321.7912919999435,1019.0,0.6669625436668574,0.0,16,17,18,18,19,20,22,25,320,320,320
POST,PPL Query: big5/scroll,1024,0,17,19.85036213573199,12.362583999674825,1541.9787499995437,13587.859375,0.682969644714862,0.0,17,18,19,19,20,21,22,27,340,1500,1500
POST,PPL Query: big5/sort_keyword_can_match_shortcut,966,0,33,35.89534439546561,27.854709000166622,1584.445333000076,13696.24016563147,0.6442858171821843,0.0,33,34,35,35,36,37,39,46,1600,1600,1600
POST,PPL Query: big5/sort_keyword_no_can_match_shortcut,968,0,33,35.68005780374177,28.27658300066105,1558.5748329995113,13695.760330578512,0.645619742269518,0.0,33,34,35,35,36,37,38,54,1600,1600,1600
POST,PPL Query: big5/sort_numeric_asc,990,0,19,20.50364853838332,13.677042000381334,946.7278749998513,12394.617171717171,0.6602929182301889,0.0,19,20,20,21,22,23,24,33,950,950,950
POST,PPL Query: big5/sort_numeric_desc,971,0,19,20.309288691046543,14.440250000006927,356.1919169997054,13706.258496395469,0.6476206299005185,0.0,19,21,21,21,22,23,25,31,360,360,360
POST,PPL Query: big5/term,993,0,16,16.567548382669344,11.47612500062678,337.14529200005927,1019.0,0.6622938058611894,0.0,16,17,17,18,19,19,22,25,340,340,340
POST,PPL Query: big5/terms_significant_1,979,0,16,20.580316868231083,11.423959000239847,1725.3810410002188,271.0,0.6529563302498534,0.0,16,17,18,18,19,20,23,33,1700,1700,1700
POST,PPL Query: big5/terms_significant_2,950,0,16,18.613528206315095,11.597041000641184,1721.278624999286,271.0,0.6336144164835146,0.0,16,17,18,18,19,20,21,24,1700,1700,1700
