Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,,Non-Calcite,17.42% faster,46346,46365,22,17,29.41%,23.222885480539027,19.177926167928327,21.09%,12.399499999901307,10.786208999888911,14.96%,374.6817090004697,1725.3810410002188,-78.28%,36,29,24.14%,42,36,16.67%,30.919478464426653,30.923718337113844,-0.01%,0,0
PPL Query: big5/asc_sort_timestamp,"source = big5
| sort + `@timestamp`
| head 10",Non-Calcite,12.55% faster,1062,1039,20,18,11.11%,20.71013590490229,18.110368230982616,14.36%,15.809457999239385,12.976500000149828,21.83%,357.74687499997526,95.49991600033536,274.60%,24,21,14.29%,32,23,39.13%,0.7085074467962954,0.6929740828698648,2.24%,0,0
PPL Query: big5/asc_sort_timestamp_can_match_shortcut,"source = big5 process.name=kernel
| sort + `@timestamp`
| head 10",Non-Calcite,19.91% faster,1005,987,24,19,26.32%,24.55531562787402,19.665774398189917,24.86%,19.417917000282618,13.356667000152813,45.38%,344.0954999996393,342.3412920001283,0.51%,28,22,27.27%,33,29,13.79%,0.6704802109512965,0.6582920305991883,1.85%,0,0
PPL Query: big5/cardinality_agg_high,"source = big5
| stats dc(`agent.name`)",Non-Calcite,4.03% faster,980,1023,19,18,5.56%,19.732197241844503,18.937053678404347,4.20%,14.616084000408591,12.827165999624413,13.95%,321.797874999902,783.920792000572,-58.95%,22,21,4.76%,30,25,20.00%,0.6538015987385777,0.6823026821711952,-4.18%,0,0
PPL Query: big5/cardinality_agg_high copy,"source = big5
| stats bucket_nullable = false dc(`agent.name`)",Non-Calcite,4.56% faster,993,928,18,18,0.00%,19.128426265856024,18.255948202585355,4.78%,14.591000000109489,12.754375000440632,14.40%,199.51037499959057,196.0584580001523,1.76%,23,22,4.55%,32,28,14.29%,0.6624744770891914,0.6189412405228437,7.03%,0,0
PPL Query: big5/cardinality_agg_high_2,"source = big5
| stats dc(`event.id`)",Non-Calcite,1.81% faster,994,992,19,18,5.56%,19.32462735412564,18.974868749998837,1.84%,14.55629200063413,12.946417000421206,12.43%,192.45712500014633,343.1689999997616,-43.92%,22,22,0.00%,30,29,3.45%,0.6631416215777002,0.6616268433175225,0.23%,0,0
PPL Query: big5/cardinality_agg_high_2_optimized,"source = big5
| stats bucket_nullable = false dc(`event.id`)",Non-Calcite,4.53% faster,957,1013,19,18,5.56%,20.193077237195805,19.278440911171913,4.74%,14.525208000122802,12.814124999749763,13.35%,339.3090839999786,376.547834000121,-9.89%,23,21,9.52%,31,24,29.17%,0.6384572755028763,0.6756330567345266,-5.50%,0,0
PPL Query: big5/cardinality_agg_low,"source = big5
| stats dc(`cloud.region`)",Non-Calcite,2.31% faster,999,1025,16,15,6.67%,17.10048819619384,16.70552881854347,2.36%,12.521916999958194,10.786208999888911,16.09%,337.6880420000816,624.5744580000974,-45.93%,20,19,5.26%,24,23,4.35%,0.666477344020244,0.6836366072585288,-2.51%,0,0
PPL Query: big5/cardinality_agg_low_optimized,"source = big5
| stats bucket_nullable = false dc(`cloud.region`)",Calcite,3.07% faster,984,992,16,15,6.67%,16.74821837297059,17.279451857863506,-3.07%,12.399499999901307,10.999083000569954,12.73%,61.089791000085825,1385.6612910003605,-95.59%,20,19,5.26%,23,23,0.00%,0.6564701766926127,0.6616268433175225,-0.78%,0,0
PPL Query: big5/composite_date_histogram_daily,"source = big5
| where `@timestamp` >= '2022-12-30 00:00:00' and `@timestamp` < '2023-01-07 12:00:00'
| stats count() by span(`@timestamp`, 1d)",Non-Calcite,28.88% faster,960,967,22,16,37.50%,23.05727883333854,16.399018463292688,40.60%,18.459332999555045,11.380750000171249,62.20%,201.5600409995386,177.29379199954565,13.69%,26,20,30.00%,33,23,43.48%,0.6404587089684026,0.6449527797258511,-0.70%,0,0
PPL Query: big5/composite_terms,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats count() by `process.name`, `cloud.region`
| sort - `process.name`, + `cloud.region`",Non-Calcite,33.51% faster,956,1001,24,16,50.00%,24.907216881789665,16.560556927070355,50.40%,18.920665999758057,11.353832999702718,66.65%,333.5334169996713,224.92037499978323,48.29%,28,20,40.00%,38,25,52.00%,0.6377901310143675,0.6676295062105243,-4.47%,0,0
PPL Query: big5/composite_terms copy,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats bucket_nullable = false count() by `process.name`, `cloud.region`
| sort - `process.name`, + `cloud.region`",Non-Calcite,40.83% faster,981,973,30,16,87.50%,30.681629790016903,18.155539865367334,68.99%,25.742499999978463,11.607749999711814,121.77%,144.53083300031722,349.2362500001036,-58.62%,34,20,70.00%,43,32,34.38%,0.6544687432270864,0.6489545549878523,0.85%,0,0
PPL Query: big5/composite_terms_keyword,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats count() by `process.name`, `cloud.region`, `aws.cloudwatch.log_stream`
| sort - `process.name`, + `cloud.region`, + `aws.cloudwatch.log_stream`",Non-Calcite,31.67% faster,961,997,24,16,50.00%,24.270344570245456,16.585108022085123,46.34%,20.00812499954918,11.25899999988178,77.71%,57.96641699998872,187.35500000002503,-69.06%,28,20,40.00%,35,27,29.63%,0.6411258534569113,0.6649616560358569,-3.58%,0,0
PPL Query: big5/composite_terms_keyword_optimized,"source = big5
| where `@timestamp` >= '2023-01-02 00:00:00' and `@timestamp` < '2023-01-02 10:00:00'
| stats bucket_nullable = false count() by `process.name`, `cloud.region`, `aws.cloudwatch.log_stream`
| sort - `process.name`, + `cloud.region`, + `aws.cloudwatch.log_stream`",Non-Calcite,47.37% faster,974,997,31,16,93.75%,32.069441034914036,16.877501011042412,90.01%,26.137040999856257,11.418166999646928,128.91%,354.2494590001297,345.93949999998586,2.40%,35,20,75.00%,43,26,65.38%,0.6497987318075251,0.6649616560358569,-2.28%,0,0
PPL Query: big5/date_histogram_hourly_agg,"source = big5
| stats count() by span(`@timestamp`, 1h)",Non-Calcite,12.47% faster,1008,1030,17,16,6.25%,18.442377757945373,16.142469855336476,14.25%,13.285209000059696,11.451084000327684,16.02%,348.5048749998896,60.4974999996557,476.06%,22,20,10.00%,28,24,16.67%,0.6724816444168227,0.6869714199768632,-2.11%,0,0
PPL Query: big5/date_histogram_minute_agg,"source = big5
| where `@timestamp` >= '2023-01-01 00:00:00' and `@timestamp` < '2023-01-03 00:00:00'
| stats count() by span(`@timestamp`, 1m)",Non-Calcite,28.39% faster,929,930,22,16,37.50%,23.558579673851824,16.870410274187115,39.64%,18.21025000026566,11.117166000076397,63.80%,336.9003750003685,339.886333999857,-0.88%,27,20,35.00%,39,25,56.00%,0.6197772298246312,0.6202751656101774,-0.08%,0,0
PPL Query: big5/default,"source = big5
| head 10",Non-Calcite,1.68% faster,982,959,18,17,5.88%,18.51456193888053,18.202900805008312,1.71%,13.425707999886072,12.59270800073864,6.61%,333.57183399948553,342.60058299969387,-2.64%,22,21,4.76%,28,31,-9.68%,0.6551358877155952,0.6396170793765162,2.43%,0,0
PPL Query: big5/desc_sort_timestamp,"source = big5
| sort - `@timestamp`
| head 10",Non-Calcite,13.87% faster,918,967,20,18,11.11%,21.046447274522393,18.12630558118359,16.11%,15.824292000161222,12.981417000446529,21.90%,341.87925000060204,94.50350000042818,261.76%,24,21,14.29%,29,24,20.83%,0.612438640451035,0.6449527797258511,-5.04%,0,0
PPL Query: big5/desc_sort_timestamp_can_match_shortcut,"source = big5 process.name=kernel
| sort - `@timestamp`
| head 10",Non-Calcite,20.28% faster,992,950,24,19,26.32%,24.79837930343044,19.77046141894741,25.43%,19.810374999906344,13.838916999702631,43.15%,330.5317089998425,340.9535830005552,-3.06%,28,23,21.74%,35,31,12.90%,0.6618073326006827,0.6336144164835146,4.45%,0,0
PPL Query: big5/keyword_in_range,"source = big5 process.name=kernel
| where `@timestamp` >= '2023-01-01 00:00:00' and `@timestamp` < '2023-01-03 00:00:00'
| head 10",Non-Calcite,32.24% faster,1005,945,28,16,75.00%,28.55790800596462,19.35108288782729,47.58%,23.562709000088944,11.43191699975432,106.11%,345.40170899981604,875.18637499943,-60.53%,32,20,60.00%,42,46,-8.70%,0.6704802109512965,0.6302796037651802,6.38%,0,0
PPL Query: big5/keyword_terms,"source = big5
| stats count() as station by `aws.cloudwatch.log_stream`
| sort - station
| head 500",Non-Calcite,0.38% faster,966,981,25,24,4.17%,26.098413134578564,25.99872597960421,0.38%,21.40858400025536,18.94324999921082,13.01%,184.65000000014695,1547.8215419998378,-88.07%,29,28,3.57%,37,30,23.33%,0.6444615758994551,0.6542902553371871,-1.50%,0,0
PPL Query: big5/keyword_terms_low_cardinality,"source = big5
| stats count() as country by `aws.cloudwatch.log_stream`
| sort - country
| head 50",Non-Calcite,12.12% faster,971,957,24,22,9.09%,25.05394231512085,22.01861363218739,13.79%,20.491457999924023,16.919791999498557,21.11%,181.89879199962888,107.17300000032992,69.72%,28,25,12.00%,34,31,9.68%,0.6477972983419988,0.6382831542891826,1.49%,0,0
PPL Query: big5/keyword_terms_low_cardinality copy,"source = big5
| stats bucket_nullable = false count() as country by `aws.cloudwatch.log_stream`
| sort - country
| head 50",Non-Calcite,15.59% faster,955,942,25,22,13.64%,26.226429892155434,22.13732700214863,18.47%,20.670541000072262,16.645749999952386,24.18%,362.2918330001994,199.97837500068272,81.17%,29,26,11.54%,31,34,-8.82%,0.6371229865258589,0.6282787161341796,1.41%,0,0
PPL Query: big5/multi_terms_keyword,"source = big5
| where `@timestamp` >= '2023-01-05 00:00:00' and `@timestamp` < '2023-01-05 05:00:00'
| stats count() by `process.name`, `cloud.region`
| sort - `count()`
| head 10",Non-Calcite,31.60% faster,996,952,24,16,50.00%,24.848614329320604,16.99707815018768,46.19%,19.775208000282873,11.419583999668248,73.17%,327.6010839999799,326.6841670001668,0.28%,28,20,40.00%,40,24,66.67%,0.6644759105547177,0.6349483415708482,4.65%,0,0
PPL Query: big5/multi_terms_keyword_optimmized,"source = big5
| where `@timestamp` >= '2023-01-05 00:00:00' and `@timestamp` < '2023-01-05 05:00:00'
| stats bucket_nullable = false count() by `process.name`, `cloud.region`
| sort - `count()`
| head 10",Non-Calcite,35.90% faster,1026,1027,27,16,68.75%,28.39069404289012,18.19720428237972,56.02%,22.30704099929426,11.526917000082904,93.52%,341.7485410000154,879.1972919998443,-61.13%,32,20,60.00%,41,22,86.36%,0.6844902452099803,0.6849705323458626,-0.07%,0,0
PPL Query: big5/query_string_on_message,"source = big5 message=monkey OR message=jackal OR message=bear
| head 10",Non-Calcite,19.04% faster,962,1007,22,19,15.79%,23.499155613328973,19.02375293743757,23.53%,17.620042000089597,13.622333000057552,29.35%,359.97137499998644,86.07991700046114,318.18%,26,22,18.18%,48,30,60.00%,0.6417929979454201,0.6716312814725254,-4.44%,0,0
PPL Query: big5/query_string_on_message_filtered,"source = big5
| where `@timestamp` >= '2023-01-03 00:00:00' and `@timestamp` < '2023-01-03 10:00:00'
  AND query_string(['message'], 'monkey jackal bear')
| head 10",Non-Calcite,27.31% faster,1054,979,23,16,43.75%,23.596711000946673,17.151432990793516,37.58%,18.632457999956387,11.370750000423868,63.86%,195.48437499997817,365.9884580001744,-46.59%,27,20,35.00%,34,27,25.93%,0.7031702908882254,0.6529563302498534,7.69%,0,0
