Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,,Non-Calcite,33.04% faster,16888,16944,10,7,42.86%,10.942187117438989,7.326882073302768,49.34%,1.9179999981133733,1.2669999996433037,51.38%,82.92720900135464,216.372875000161,-61.67%,23,14,64.29%,30,19,57.89%,18.75336714263674,18.80012780649224,-0.25%,0,0
PPL Query: big5/asc_sort_timestamp,"source = big5
| sort + `@timestamp`
| head 10",Non-Calcite,6.05% faster,322,387,7,7,0.00%,7.678544869568835,7.213993423826089,6.44%,2.9047909993096255,1.8052079994959056,60.91%,25.938332997611724,88.10379200076568,-70.56%,15,12,25.00%,19,18,5.56%,0.3575665691573325,0.4293938539372341,-16.73%,0,0
PPL Query: big5/asc_sort_timestamp_can_match_shortcut,"source = big5 process.name=kernel
| sort + `@timestamp`
| head 10",Non-Calcite,27.14% faster,374,383,12,10,20.00%,13.108483299502186,9.5507089868993,37.25%,5.595290997007396,2.898458000345272,93.04%,31.182750000880333,21.552166999754263,44.68%,23,15,53.33%,27,20,35.00%,0.4153102387106905,0.4249556745683738,-2.27%,0,0
PPL Query: big5/cardinality_agg_high,"source = big5
| stats dc(`agent.name`)",Non-Calcite,10.48% faster,338,411,5,5,0.00%,5.87516207692258,5.259228099791212,11.71%,2.0665840020228643,1.2861249997513369,60.68%,25.31779200035089,46.42341699945973,-45.46%,11,10,10.00%,16,13,23.08%,0.3753338520968272,0.4560229301503959,-17.69%,0,0
PPL Query: big5/cardinality_agg_high copy,"source = big5
| stats bucket_nullable = false dc(`agent.name`)",Non-Calcite,5.49% faster,375,345,5,5,0.00%,5.866719645370419,5.544746376735798,5.81%,2.2808749999967404,1.487499999711872,53.34%,15.63604100010707,27.585207999436538,-43.32%,11,10,10.00%,15,14,7.14%,0.4164206938944089,0.382792970564201,8.78%,0,0
PPL Query: big5/cardinality_agg_high_2,"source = big5
| stats dc(`event.id`)",Non-Calcite,7.33% faster,386,370,5,5,0.00%,6.1347577641287945,5.684938297334255,7.91%,2.211416998761706,1.5093750007508788,46.51%,18.077958000503713,14.112000000750411,28.10%,13,11,18.18%,18,13,38.46%,0.4286357009153116,0.4105315916195779,4.41%,0,0
PPL Query: big5/cardinality_agg_high_2_optimized,"source = big5
| stats bucket_nullable = false dc(`event.id`)",Non-Calcite,10.99% faster,344,367,6,5,20.00%,6.685712825708114,5.95099064855452,12.35%,2.1838749999005813,1.270999999178457,71.82%,57.196415998987504,65.49012499999662,-12.66%,13,12,8.33%,18,14,28.57%,0.3819965831991378,0.4072029570929326,-6.19%,0,0
PPL Query: big5/cardinality_agg_low,"source = big5
| stats dc(`cloud.region`)",Non-Calcite,7.72% faster,364,353,5,5,0.00%,6.052032618014722,5.584890473102097,8.36%,2.0960830006515607,1.276125000003958,64.25%,17.080457999327336,92.46362500016404,-81.53%,12,10,20.00%,15,12,25.00%,0.4042056868735063,0.3916693293019216,3.20%,0,0
PPL Query: big5/cardinality_agg_low_optimized,"source = big5
| stats bucket_nullable = false dc(`cloud.region`)",Non-Calcite,3.65% faster,370,384,5,5,0.00%,5.801246272902652,5.589735874982201,3.78%,2.1964170009596273,1.3434170014079427,63.49%,22.47308299956785,18.82020800076134,19.41%,12,11,9.09%,18,13,38.46%,0.4108684179758168,0.4260652194105889,-3.57%,0,0
PPL Query: big5/composite_date_histogram_daily,"source = big5
| where `@timestamp` >= '2022-12-30 00:00:00' and `@timestamp` < '2023-01-07 12:00:00'
| stats count() by span(`@timestamp`, 1d)",Non-Calcite,42.78% faster,326,341,11,6,83.33%,12.101919966267046,6.92432943687784,74.77%,4.888832998403814,2.2407500000554137,118.18%,30.398750001040753,79.99525000013818,-62.00%,22,13,69.23%,27,17,58.82%,0.3620083898922062,0.3783547911953407,-4.32%,0,0
