Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: cloudtrail/01_count_all,119,0,40,44.281139405113606,33.749082998838276,186.7558330122847,161.0,0.9004449171090144,0.0,40,42,44,45,49,59,150,170,190,190,190
POST,PPL Query: cloudtrail/02_count_all_span_30d,123,0,42,53.92469816871472,34.580000006826594,288.4894169983454,263.0,0.9307119731462922,0.0,42,46,48,49,57,170,200,230,290,290,290
POST,PPL Query: cloudtrail/03_count_all_1,119,0,52,56.80134488165011,45.083749981131405,216.07591700740159,983.0,0.9004449171090144,0.0,52,54,55,59,63,68,180,200,220,220,220
POST,PPL Query: cloudtrail/04_count_all_2,129,0,42,48.12245769606716,37.40366600686684,201.55595798860304,298.0,0.9761125572022089,0.0,42,44,47,48,51,61,170,190,200,200,200
POST,PPL Query: cloudtrail/05_count_all_3,116,0,43,47.01284233331158,36.42579200095497,208.87891697930172,449.0,0.8777446250810561,0.0,43,46,47,48,51,56,73,190,210,210,210
POST,PPL Query: cloudtrail/06_count_all_4,111,0,45,57.52038623459075,34.141499985707924,249.87237501773052,641.0,0.8399108050344588,0.0,45,49,51,52,62,180,190,200,250,250,250
POST,PPL Query: cloudtrail/07_count_all_5,147,0,44,51.0422437824784,36.085959000047296,201.62108301883563,488.0,1.112314309369959,0.0,44,47,48,50,58,73,180,190,200,200,200
POST,PPL Query: cloudtrail/08_count_all_where_not,132,0,50,56.71165124217761,43.19587501231581,243.77970900968648,675.0,0.9988128492301672,0.0,50,53,55,56,60,68,190,210,240,240,240
POST,PPL Query: cloudtrail/09_count_all_6,138,0,57,64.38273279649286,49.65162498410791,218.1194580043666,1033.0,1.044213433286084,0.0,57,59,62,63,71,91,210,220,220,220,220
POST,PPL Query: cloudtrail/10_count_all_where_isnotnull,132,0,48,53.69045804422278,40.32154200831428,202.73987500695512,147.0,0.9988128492301672,0.0,49,51,53,54,57,71,190,190,200,200,200
POST,PPL Query: cloudtrail/11_count_all_where_eventsource,118,0,46,54.02765574670689,38.21724999579601,244.56258298596367,263.0,0.892878153099695,0.0,46,49,51,53,59,89,190,200,240,240,240
POST,PPL Query: cloudtrail/12_count_all_where_eventsource_1,124,0,48,52.182674031956275,40.52270800457336,325.81258402206004,428.0,0.9382787371556116,0.0,48,50,52,53,58,62,100,180,330,330,330
POST,PPL Query: cloudtrail/13_count_all_where_eventsource_2,106,0,48,51.961064066041594,40.14787499909289,211.99387501110323,308.0,0.8020769849878616,0.0,48,50,52,53,56,65,83,190,210,210,210
POST,PPL Query: cloudtrail/14_count_all_where_eventsource_3,103,0,47,48.86933786537978,39.75358299794607,174.0494589903392,243.0,0.7793766929599032,0.0,47,48,50,51,54,57,70,72,170,170,170
POST,PPL Query: cloudtrail/15_count_all_where_eventsource_4,141,0,48,53.19834452540224,38.5999999998603,214.34483397752047,388.0,1.0669137253140424,0.0,48,51,53,55,58,62,180,210,210,210,210
,Aggregated,1858,0,47,53.04467419020915,33.749082998838276,325.81258402206004,457.18353067814854,14.059047529315535,0.0,47,50,53,54,60,71,180,200,290,330,330
