Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,19.54% faster,12203,12083,23,17,35.29%,24.925481760094506,20.056285314432554,24.28%,11.776833009207621,11.330916997394525,3.94%,784.0675420011394,264.1778340039309,196.80%,37,41,-9.76%,52,48,8.33%,13.078282916951354,13.312058616454411,-1.76%,0,300
PPL Query: cloudtrail/01_count_all,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | stats count() as `Event Count`,Non-Calcite,10.85% faster,785,740,16,15,6.67%,18.344011243060528,16.354126868886727,12.17%,11.776833009207621,11.382708005839959,3.46%,226.94204199069645,180.98691699560732,25.39%,20,19,5.26%,120,70,71.43%,0.8413055879543402,0.8152713213751771,3.19%,0,0
PPL Query: cloudtrail/02_count_all_span_30d,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() by span(@timestamp, 30d)",Non-Calcite,20.96% faster,709,746,18,15,20.00%,20.034007406459395,15.834976603339761,26.52%,14.1700420062989,11.529499999596737,22.90%,226.15612499066629,89.66737501032185,152.22%,23,19,21.05%,76,22,245.45%,0.7598543463179964,0.8218816293863273,-7.55%,0,0
PPL Query: cloudtrail/03_count_all_1,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | stats count() as Count by `aws.cloudtrail.userIdentity.accountId` | eval `Account Id` = CAST(`aws.cloudtrail.userIdentity.accountId` AS STRING) | sort - Count | head 10,Non-Calcite,23.67% faster,755,769,28,21,33.33%,29.245042088379872,22.322007564459025,31.01%,23.96687500004191,17.39962499414105,37.74%,206.0084579861723,185.80245799967088,10.87%,33,25,32.00%,48,40,20.00%,0.8091537820452571,0.8472211434290692,-4.49%,0,0
PPL Query: cloudtrail/04_count_all_2,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventCategory` | SORT - Count | HEAD 5,Non-Calcite,20.78% faster,719,722,20,16,25.00%,21.17903084127117,16.777795653913905,26.23%,15.469707999727689,11.60508299653884,33.30%,184.71566699736286,178.0563750071451,3.74%,24,19,26.32%,40,38,5.26%,0.7705716149543574,0.7954403973417269,-3.13%,0,0
PPL Query: cloudtrail/05_count_all_3,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.awsRegion` | SORT - Count | HEAD 10,Non-Calcite,19.07% faster,758,767,20,15,33.33%,20.677610436497574,16.7341660302367,23.57%,16.022290990804322,11.622750011156313,37.85%,220.5833329935558,180.78029100433923,22.02%,24,19,26.32%,26,68,-61.76%,0.8123689626361654,0.8450177074253525,-3.86%,0,0
PPL Query: cloudtrail/06_count_all_4,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventName` | SORT - Count | HEAD 10,Non-Calcite,18.41% faster,783,803,20,16,25.00%,20.943549588671438,17.088688834656462,22.56%,16.209333000006154,11.663833996863104,38.97%,159.70679200836457,183.9629580063047,-13.19%,24,20,20.00%,38,75,-49.33%,0.839162134227068,0.884679555492253,-5.15%,0,0
PPL Query: cloudtrail/07_count_all_5,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by `aws.cloudtrail.eventSource` | SORT - Count | HEAD 10,Non-Calcite,24.30% faster,750,763,20,16,25.00%,21.42703728271105,16.22015383262535,32.10%,16.349583005649038,11.330916997394525,44.29%,223.50212499441113,154.63925000221934,44.53%,24,19,26.32%,70,23,204.35%,0.8037951477270766,0.8406108354179191,-4.38%,0,0
PPL Query: cloudtrail/08_count_all_where_not,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE NOT (aws.cloudtrail.sourceIPAddress LIKE '%.amazon%.com%' OR aws.cloudtrail.sourceIPAddress LIKE 'AWS%') | STATS count() as Count by aws.cloudtrail.sourceIPAddress | SORT - Count | HEAD 10,Non-Calcite,22.93% faster,753,763,27,21,28.57%,28.79636270367212,22.19254088945544,29.76%,22.22154200717341,17.052666007657535,30.31%,784.0675420011394,175.2330410090508,347.44%,31,25,24.00%,52,34,52.94%,0.8070103283179849,0.8406108354179191,-4.00%,0,0
PPL Query: cloudtrail/09_count_all_6,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | STATS count() as Count by aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName, aws.cloudtrail.userIdentity.accountId, aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type | rename aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName as `User Name`, aws.cloudtrail.userIdentity.accountId as `Account Id`, aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.type as `Type` | SORT - Count | HEAD 10",Non-Calcite,20.00% faster,815,801,33,26,26.92%,33.57940464686928,26.862889201065364,25.00%,28.651125001488253,21.528375000343658,33.09%,239.94483299611602,155.76204100216273,54.05%,37,30,23.33%,49,45,8.89%,0.8734573938634232,0.8824761194885363,-1.02%,0,0
PPL Query: cloudtrail/10_count_all_where_isnotnull,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | parse `aws.cloudtrail.eventSource` ""(?<service>s3.*)"" | WHERE isnotnull(service) and `errorCode`=""AccessDenied"" | STATS count() as Count",Non-Calcite,22.09% faster,791,782,24,19,26.32%,25.149293571349126,19.594270879972328,28.35%,20.206000001053326,12.696292003965937,59.15%,229.63641700334847,186.73487499472685,22.97%,28,25,12.00%,52,33,57.58%,0.8477359491361568,0.8615434774532277,-1.60%,0,300
PPL Query: cloudtrail/11_count_all_where_eventsource,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""s3%"" | stats count() as Count by `aws.cloudtrail.requestParameters.bucketName` | sort - Count | head 10",Non-Calcite,28.56% faster,768,746,22,15,46.67%,23.060168396852987,16.473298410331985,39.99%,18.115250000846572,11.673457993310876,55.18%,223.8493750046473,181.380750000244,23.41%,26,19,36.84%,43,33,30.30%,0.8230862312725264,0.8218816293863273,0.15%,0,0
PPL Query: cloudtrail/12_count_all_where_eventsource_1,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE `aws.cloudtrail.eventSource` like 's3%' and not (`aws.cloudtrail.eventName` like 'Get%' or `aws.cloudtrail.eventName` like 'Describe%' or `aws.cloudtrail.eventName` like 'List%' or `aws.cloudtrail.eventName` like 'Head%') | STATS count() as Count by `aws.cloudtrail.eventName`, `aws.cloudtrail.requestParameters.bucketName` | RENAME `aws.cloudtrail.eventName` as `Event`, `aws.cloudtrail.requestParameters.bucketName` as `Bucket Name` | SORT - Count | HEAD 100",Non-Calcite,27.97% faster,771,741,23,16,43.75%,23.72098997152705,17.08582467772271,38.83%,18.953541992232203,11.931208005989902,58.86%,162.16695800540037,178.74754199874587,-9.28%,27,20,35.00%,31,38,-18.42%,0.8263014118634348,0.8163730393770354,1.22%,0,0
PPL Query: cloudtrail/13_count_all_where_eventsource_2,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""ec2%"" and (`aws.cloudtrail.eventName` = ""RunInstances"" or `aws.cloudtrail.eventName` = ""TerminateInstances"" or `aws.cloudtrail.eventName` = ""StopInstances"") and not (`aws.cloudtrail.eventName` like ""Get%"" or `aws.cloudtrail.eventName` like ""Describe%"" or `aws.cloudtrail.eventName` like ""List%"" or `aws.cloudtrail.eventName` like ""Head%"") | stats count() as Count by `aws.cloudtrail.eventName` | sort - Count | head 5",Non-Calcite,31.43% faster,764,725,23,16,43.75%,24.825685061351336,17.022088157466676,45.84%,19.40083398949355,12.256084010004997,58.30%,237.23883299680892,106.3557919987943,123.06%,28,20,40.00%,55,28,96.43%,0.818799323817982,0.798745551347302,2.51%,0,0
PPL Query: cloudtrail/14_count_all_where_eventsource_3,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE `aws.cloudtrail.eventSource` = 'ec2*' and not (`aws.cloudtrail.eventName` = 'Get*' or `aws.cloudtrail.eventName` = 'Describe*' or `aws.cloudtrail.eventName` = 'List*' or `aws.cloudtrail.eventName` = 'Head*') | STATS count() as Count by `aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName` | SORT - Count | HEAD 10,Non-Calcite,29.15% faster,761,760,23,16,43.75%,24.402713270914685,17.288329742242286,41.15%,18.91870801046025,11.950250001973473,58.31%,193.8570000056643,264.1778340039309,-26.62%,28,20,40.00%,61,57,7.02%,0.8155841432270737,0.8373056814123441,-2.59%,0,0
PPL Query: cloudtrail/15_count_all_where_eventsource_4,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""ec2%"" and not (`aws.cloudtrail.eventName` like ""Get%"" or `aws.cloudtrail.eventName` like ""Describe%"" or `aws.cloudtrail.eventName` like ""List%"" or `aws.cloudtrail.eventName` like ""Head%"") | stats count() as Count by `aws.cloudtrail.eventName` | rename `aws.cloudtrail.eventName` as `Event Name` | sort - Count | head 10",Non-Calcite,27.33% faster,771,665,23,16,43.75%,24.19438962286354,17.581370479472795,37.61%,19.07808300165925,12.117167003452778,57.45%,186.3301250123186,192.1314580104081,-3.02%,27,20,35.00%,51,86,-40.70%,0.8263014118634348,0.7326424712358011,12.78%,0,0
