Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: cloudtrail/01_count_all,785,0,16,18.344011243060528,11.776833009207621,226.94204199069645,161.0,0.8413055879543402,0.0,16,17,18,18,19,20,39,120,230,230,230
POST,PPL Query: cloudtrail/02_count_all_span_30d,709,0,18,20.034007406459395,14.1700420062989,226.15612499066629,263.0,0.7598543463179964,0.0,18,19,20,20,21,23,31,76,230,230,230
POST,PPL Query: cloudtrail/03_count_all_1,755,0,28,29.245042088379872,23.96687500004191,206.0084579861723,983.0,0.8091537820452571,0.0,28,29,30,30,31,33,35,48,210,210,210
POST,PPL Query: cloudtrail/04_count_all_2,719,0,20,21.17903084127117,15.469707999727689,184.71566699736286,298.0,0.7705716149543574,0.0,20,21,22,22,23,24,26,40,180,180,180
POST,PPL Query: cloudtrail/05_count_all_3,758,0,20,20.677610436497574,16.022290990804322,220.5833329935558,449.0,0.8123689626361654,0.0,20,21,22,22,23,24,25,26,220,220,220
POST,PPL Query: cloudtrail/06_count_all_4,783,0,20,20.943549588671438,16.209333000006154,159.70679200836457,641.0,0.839162134227068,0.0,20,21,22,22,23,24,26,38,160,160,160
POST,PPL Query: cloudtrail/07_count_all_5,750,0,20,21.42703728271105,16.349583005649038,223.50212499441113,488.0,0.8037951477270766,0.0,20,21,22,22,23,24,30,70,220,220,220
POST,PPL Query: cloudtrail/08_count_all_where_not,753,0,27,28.79636270367212,22.22154200717341,784.0675420011394,675.0,0.8070103283179849,0.0,27,28,28,29,30,31,35,52,780,780,780
POST,PPL Query: cloudtrail/09_count_all_6,815,0,33,33.57940464686928,28.651125001488253,239.94483299611602,1033.0,0.8734573938634232,0.0,33,34,34,35,36,37,39,49,240,240,240
POST,PPL Query: cloudtrail/10_count_all_where_isnotnull,791,0,24,25.149293571349126,20.206000001053326,229.63641700334847,147.0,0.8477359491361568,0.0,24,25,26,26,27,28,30,52,230,230,230
POST,PPL Query: cloudtrail/11_count_all_where_eventsource,768,0,22,23.060168396852987,18.115250000846572,223.8493750046473,263.0,0.8230862312725264,0.0,22,23,24,24,25,26,28,43,220,220,220
POST,PPL Query: cloudtrail/12_count_all_where_eventsource_1,771,0,23,23.72098997152705,18.953541992232203,162.16695800540037,428.0,0.8263014118634348,0.0,23,24,25,25,26,27,28,31,160,160,160
POST,PPL Query: cloudtrail/13_count_all_where_eventsource_2,764,0,23,24.825685061351336,19.40083398949355,237.23883299680892,308.0,0.818799323817982,0.0,23,25,25,26,27,28,31,55,240,240,240
POST,PPL Query: cloudtrail/14_count_all_where_eventsource_3,761,0,23,24.402713270914685,18.91870801046025,193.8570000056643,243.0,0.8155841432270737,0.0,23,24,25,25,26,28,36,61,190,190,190
POST,PPL Query: cloudtrail/15_count_all_where_eventsource_4,771,0,23,24.19438962286354,19.07808300165925,186.3301250123186,388.0,0.8263014118634348,0.0,23,24,25,25,26,27,30,51,190,190,190
POST,PPL Query: cloudtrail/16_sum_pkts_span_1d,750,0,37,38.63578078523278,32.62858399830293,242.8970839973772,1045.0,0.8037951477270766,0.0,37,38,39,39,40,41,45,79,240,240,240
,Aggregated,12203,0,23,24.925481760094506,11.776833009207621,784.0675420011394,489.96771285749406,13.078282916951354,0.0,23,25,27,28,33,37,40,52,210,240,780
