Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: cloudtrail/01_count_all,101,0,39,42.51270749436756,31.180958991171792,194.40249999752268,161.0,0.8012628861414564,0.0,39,40,42,44,47,53,67,170,190,190,190
POST,PPL Query: cloudtrail/02_count_all_span_30d,106,0,38,44.76303925500515,31.98758402140811,182.2350419824943,263.0,0.8409293656534097,0.0,38,40,41,43,49,58,180,180,180,180,180
POST,PPL Query: cloudtrail/03_count_all_1,123,0,46,52.89419648891534,38.31220799474977,218.4582909976598,983.0,0.9757953959940509,0.0,46,48,51,53,59,64,190,200,220,220,220
POST,PPL Query: cloudtrail/04_count_all_2,127,0,38,41.820045275747496,31.95245799724944,197.74899998446926,298.0,1.0075285796036135,0.0,38,40,42,43,47,51,76,170,200,200,200
POST,PPL Query: cloudtrail/05_count_all_3,124,0,39,48.32588744325368,32.00845798710361,217.43158300523646,449.0,0.9837286918964415,0.0,40,42,45,45,49,150,200,200,220,220,220
POST,PPL Query: cloudtrail/06_count_all_4,100,0,39,47.77792668843176,32.08179198554717,184.18712497805245,641.0,0.7933295902390657,0.0,39,41,43,46,57,180,180,180,180,180,180
POST,PPL Query: cloudtrail/07_count_all_5,114,0,39,42.58298051692627,31.348666991107166,182.1897090121638,488.0,0.9043957328725349,0.0,39,41,44,44,49,55,67,160,180,180,180
POST,PPL Query: cloudtrail/08_count_all_where_not,105,0,45,50.92630201778818,37.889250001171604,209.40604101633653,675.0,0.832996069751019,0.0,45,47,48,50,54,69,180,190,210,210,210
POST,PPL Query: cloudtrail/09_count_all_6,116,0,50,57.25060348099917,42.84166599973105,201.8270829867106,1033.0,0.9202623246773163,0.0,50,52,54,56,62,79,190,190,200,200,200
POST,PPL Query: cloudtrail/10_count_all_where_isnotnull,113,0,40,46.89039854874702,32.467458018800244,195.1834579813294,147.0,0.8964624369701443,0.0,40,43,45,46,48,71,170,190,200,200,200
POST,PPL Query: cloudtrail/11_count_all_where_eventsource,130,0,39,43.346969538833946,31.384709000121802,188.0324579833541,263.0,1.0313284673107854,0.0,39,42,44,45,48,52,170,180,190,190,190
POST,PPL Query: cloudtrail/12_count_all_where_eventsource_1,125,0,40,45.94412304600701,32.15291700325906,194.27200002246536,428.0,0.9916619877988322,0.0,40,42,44,46,51,67,190,190,190,190,190
POST,PPL Query: cloudtrail/13_count_all_where_eventsource_2,113,0,40,50.841418876615556,32.54124999511987,203.59829100198112,308.0,0.8964624369701443,0.0,40,42,44,46,56,170,190,200,200,200,200
POST,PPL Query: cloudtrail/14_count_all_where_eventsource_3,133,0,39,45.389417895681355,32.09462499944493,201.50879200082272,243.0,1.0551283550179573,0.0,39,41,44,45,52,70,180,190,200,200,200
POST,PPL Query: cloudtrail/15_count_all_where_eventsource_4,101,0,40,47.07533955438026,31.79649999947287,218.70395800215192,388.0,0.8012628861414564,0.0,40,42,44,45,46,51,200,220,220,220,220
,Aggregated,1731,0,41,47.187758756499925,31.180958991171792,218.70395800215192,450.3853264009243,13.732535207038227,0.0,41,44,46,47,53,66,180,190,220,220,220
