Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: cloudtrail/01_count_all,740,0,15,16.354126868886727,11.382708005839959,180.98691699560732,161.0,0.8152713213751771,0.0,15,16,17,17,18,19,22,70,180,180,180
POST,PPL Query: cloudtrail/02_count_all_span_30d,746,0,15,15.834976603339761,11.529499999596737,89.66737501032185,263.0,0.8218816293863273,0.0,15,17,17,17,18,19,20,22,90,90,90
POST,PPL Query: cloudtrail/03_count_all_1,769,0,21,22.322007564459025,17.39962499414105,185.80245799967088,983.0,0.8472211434290692,0.0,21,23,23,24,24,25,27,40,190,190,190
POST,PPL Query: cloudtrail/04_count_all_2,722,0,16,16.777795653913905,11.60508299653884,178.0563750071451,298.0,0.7954403973417269,0.0,16,17,17,18,18,19,21,38,180,180,180
POST,PPL Query: cloudtrail/05_count_all_3,767,0,15,16.7341660302367,11.622750011156313,180.78029100433923,449.0,0.8450177074253525,0.0,15,17,17,18,18,19,22,68,180,180,180
POST,PPL Query: cloudtrail/06_count_all_4,803,0,16,17.088688834656462,11.663833996863104,183.9629580063047,641.0,0.884679555492253,0.0,16,17,18,18,19,20,23,75,180,180,180
POST,PPL Query: cloudtrail/07_count_all_5,763,0,16,16.22015383262535,11.330916997394525,154.63925000221934,488.0,0.8406108354179191,0.0,16,17,17,18,18,19,20,23,150,150,150
POST,PPL Query: cloudtrail/08_count_all_where_not,763,0,21,22.19254088945544,17.052666007657535,175.2330410090508,675.0,0.8406108354179191,0.0,21,22,23,23,24,25,26,34,180,180,180
POST,PPL Query: cloudtrail/09_count_all_6,801,0,26,26.862889201065364,21.528375000343658,155.76204100216273,1033.0,0.8824761194885363,0.0,26,27,28,28,29,30,32,45,160,160,160
POST,PPL Query: cloudtrail/10_count_all_where_isnotnull,782,300,19,19.594270879972328,12.696292003965937,186.73487499472685,20112.345268542198,0.8615434774532277,0.3305154005575042,19,20,21,22,24,25,26,33,190,190,190
POST,PPL Query: cloudtrail/11_count_all_where_eventsource,746,0,15,16.473298410331985,11.673457993310876,181.380750000244,263.0,0.8218816293863273,0.0,15,17,17,18,18,19,22,33,180,180,180
POST,PPL Query: cloudtrail/12_count_all_where_eventsource_1,741,0,16,17.08582467772271,11.931208005989902,178.74754199874587,428.0,0.8163730393770354,0.0,16,17,18,18,19,20,21,38,180,180,180
POST,PPL Query: cloudtrail/13_count_all_where_eventsource_2,725,0,16,17.022088157466676,12.256084010004997,106.3557919987943,308.0,0.798745551347302,0.0,16,17,18,18,19,20,21,28,110,110,110
POST,PPL Query: cloudtrail/14_count_all_where_eventsource_3,760,0,16,17.288329742242286,11.950250001973473,264.1778340039309,243.0,0.8373056814123441,0.0,16,17,18,18,19,20,23,57,260,260,260
POST,PPL Query: cloudtrail/15_count_all_where_eventsource_4,665,0,16,17.581370479472795,12.117167003452778,192.1314580104081,388.0,0.7326424712358011,0.0,16,17,18,18,19,20,23,86,190,190,190
POST,PPL Query: cloudtrail/16_sum_pkts_span_1d,790,0,42,43.4410399089227,38.13291699043475,199.78554200497456,1042.0,0.8703572214680945,0.0,42,43,44,44,45,46,53,95,200,200,200
,Aggregated,12083,300,17,20.056285314432554,11.330916997394525,264.1778340039309,1786.8665894231565,13.312058616454411,0.3305154005575042,17,19,21,22,27,41,45,48,180,200,260
