Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,6.11% faster,5995,5949,38,27,40.74%,166.69832762535400,156.506733350252,6.51%,18.770291993860200,13.46270798239860,39.42%,5233.962833008260,17315.09433296740,-69.77%,120,53,126.42%,4200,4900,-14.29%,10.02113608890290,9.912885085396030,1.09%,0,652
PPL Query: nfw/01_sum_pkts_span_2d,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.pkts`) as packet_count by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.src_ip` | rename `aws.networkfirewall.event.src_ip` as `Source IP` | sort - packet_count | head 10",Calcite,11.92% faster,160,172,39,43,-9.30%,39.72667344532970,45.10461676731800,-11.92%,34.820750006474600,40.67270801169800,-14.39%,93.19533297093590,121.10374995973000,-23.05%,44,48,-8.33%,82,120,-31.67%,0.26745317334853500,0.28660551936260200,-6.68%,0,0
PPL Query: nfw/02_sum_bytes_span_2d,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.bytes`) as sum_bytes by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.src_ip` | rename  `aws.networkfirewall.event.src_ip` as `Source IP` | sort - sum_bytes | head 10",Calcite,12.50% faster,171,150,39,43,-9.30%,40.780656720846600,46.60640588030220,-12.50%,35.398082982283100,40.38387502077970,-12.35%,113.09404199710100,269.13058396894500,-57.98%,48,47,2.13%,90,170,-47.06%,0.28584057901624700,0.24994667386273400,14.36%,0,0
PPL Query: nfw/03_sum_pkts_span_2d_1,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.pkts`) as packet_count by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.dest_ip` | rename `aws.networkfirewall.event.dest_ip` as `Destination IP` | sort - packet_count | head 10",Calcite,14.29% faster,150,178,38,43,-11.63%,39.04612305108460,45.557213443255600,-14.29%,34.18362501543020,40.27208295883610,-15.12%,99.28991599008440,153.81120902020500,-35.45%,43,50,-14.00%,93,120,-22.50%,0.2507373500142520,0.296603386317111,-15.46%,0,0
PPL Query: nfw/04_sum_bytes_span_2d_1,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.bytes`) as bytes by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.dest_ip` | rename `aws.networkfirewall.event.dest_ip` as `Destination IP` | sort - bytes | head 10",Calcite,8.10% faster,158,150,38,43,-11.63%,42.18074710173180,45.89750807848760,-8.10%,34.36733304988590,40.189624996855900,-14.49%,208.93687498755800,137.95100001152600,51.46%,56,52,7.69%,170,140,21.43%,0.26411000868167900,0.24994667386273400,5.67%,0,0
PPL Query: nfw/05_sum_pkts,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | STATS SUM(`aws.networkfirewall.event.netflow.pkts`) as Packets, SUM(`aws.networkfirewall.event.netflow.bytes`) as Bytes by `aws.networkfirewall.event.src_ip` | RENAME `aws.networkfirewall.event.src_ip` as `Source IP` | SORT - Bytes, Packets | HEAD 10",Non-Calcite,27.50% faster,158,140,36,27,33.33%,39.21733674544640,28.43210649194330,37.93%,32.44941699085760,23.614457983057900,37.41%,206.05199999408800,205.0144590321000,0.51%,46,32,43.75%,110,56,96.43%,0.26411000868167900,0.23328356227188500,13.21%,0,0
PPL Query: nfw/06_sum_pkts_1,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | STATS SUM(`aws.networkfirewall.event.netflow.pkts`) as Packets, SUM(`aws.networkfirewall.event.netflow.bytes`) as Bytes by `aws.networkfirewall.event.dest_ip` | RENAME `aws.networkfirewall.event.dest_ip` as `Destination IP`  | SORT - Bytes, Packets | HEAD 10",Non-Calcite,17.57% faster,140,164,36,27,33.33%,37.86061807934730,31.208088658764300,21.32%,33.00470800604670,23.491083993576500,40.50%,216.53800003696200,225.83654103800700,-4.12%,40,37,8.11%,63,200,-68.50%,0.23402152667996800,0.2732750300899230,-14.36%,0,0
PPL Query: nfw/07_sum_pkts_span_2d_2,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.pkts`) as packet_count by span(`aws.networkfirewall.event.timestamp`, 2d) as timestamp_span, `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip` | eval `Src IP - Dst IP` = concat(`aws.networkfirewall.event.src_ip`, ""-"", `aws.networkfirewall.event.dest_ip`) | sort - packet_count | head 10",Non-Calcite,5.74% faster,173,168,51,47,8.51%,52.48289469917540,49.468808952951800,6.09%,47.53862495999780,43.87854196829720,8.34%,162.60720801074100,248.56133305002000,-34.58%,58,53,9.43%,74,120,-38.33%,0.28918374368310400,0.27994027472626200,3.30%,0,0
PPL Query: nfw/08_sum_bytes_span_2d_2,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats sum(`aws.networkfirewall.event.netflow.bytes`) as bytes by span(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip` | eval `Src IP - Dst IP` = concat(`aws.networkfirewall.event.src_ip`, ""-"", `aws.networkfirewall.event.dest_ip`) | sort - bytes | head 10",Non-Calcite,6.44% faster,181,171,52,47,10.64%,53.490681627454,50.04569637787950,6.88%,48.12687501544130,44.3636670242995,8.48%,179.347500030417,241.55625002458700,-25.75%,58,54,7.41%,120,160,-25.00%,0.3025564023505310,0.28493920820351700,6.18%,0,0
PPL Query: nfw/09_count_all_where_action_span_2d,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | where `aws.networkfirewall.event.alert.action` = ""allowed"" | stats count() as event_count by span(`aws.networkfirewall.event.timestamp`, 2d) as time_bucket, `aws.networkfirewall.event.http.hostname` | rename `aws.networkfirewall.event.http.hostname` as `Hostname` | sort - event_count",Non-Calcite,44.79% faster,178,136,30,16,87.50%,33.331806477148800,18.402825633101600,81.12%,26.75304200965910,13.85058299638330,93.15%,208.41195801040200,272.5046249688600,-23.52%,47,19,147.37%,120,24,400.00%,0.29754165535024500,0.22661831763554500,31.30%,0,0
