nfw_calcite
Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: nfw/01_sum_pkts_span_2d,160,0,39,39.72667344532970,34.820750006474600,93.19533297093590,1062.0,0.26745317334853500,0.0,39,40,40,40,41,44,51,82,93,93,93
POST,PPL Query: nfw/02_sum_bytes_span_2d,171,0,39,40.780656720846600,35.398082982283100,113.09404199710100,1082.0,0.28584057901624700,0.0,39,40,40,41,42,48,71,90,110,110,110
POST,PPL Query: nfw/03_sum_pkts_span_2d_1,150,0,38,39.04612305108460,34.18362501543020,99.28991599008440,1067.0,0.2507373500142520,0.0,38,39,39,39,41,43,47,93,99,99,99
POST,PPL Query: nfw/04_sum_bytes_span_2d_1,158,0,38,42.18074710173180,34.36733304988590,208.93687498755800,1076.0,0.26411000868167900,0.0,38,39,39,40,43,56,84,170,210,210,210
POST,PPL Query: nfw/05_sum_pkts,158,0,36,39.21733674544640,32.44941699085760,206.05199999408800,938.0,0.26411000868167900,0.0,36,37,38,38,41,46,81,110,210,210,210
POST,PPL Query: nfw/06_sum_pkts_1,140,0,36,37.86061807934730,33.00470800604670,216.53800003696200,936.0,0.23402152667996800,0.0,36,37,37,38,38,40,50,63,220,220,220
POST,PPL Query: nfw/07_sum_pkts_span_2d_2,173,0,51,52.48289469917540,47.53862495999780,162.60720801074100,1804.0,0.28918374368310400,0.0,51,52,53,53,54,58,62,74,160,160,160
POST,PPL Query: nfw/08_sum_bytes_span_2d_2,181,0,52,53.490681627454,48.12687501544130,179.347500030417,1859.0,0.3025564023505310,0.0,52,52,53,54,54,58,67,120,180,180,180
POST,PPL Query: nfw/09_count_all_where_action_span_2d,178,0,30,33.331806477148800,26.75304200965910,208.41195801040200,260.0,0.29754165535024500,0.0,30,31,31,32,33,47,98,120,210,210,210
POST,PPL Query: nfw/11_count_all_where_action_span_2d_2,163,0,35,38.02372926869000,32.22229104721920,205.4300419986250,260.0,0.2724679203488200,0.0,35,36,36,36,37,43,85,170,210,210,210
POST,PPL Query: nfw/15_count_all,149,0,26,28.40695830160480,21.711208042688700,201.8242499907500,430.0,0.24906576768082300,0.0,26,26,27,27,28,32,61,140,200,200,200
POST,PPL Query: nfw/16_count_all_1,155,0,22,24.272665077625100,18.770291993860200,79.41229199059310,335.0,0.2590952616813940,0.0,22,23,23,24,25,38,62,67,79,79,79
POST,PPL Query: nfw/18_count_all_span_2d,166,0,43,45.84753894105450,39.32412504218520,170.87487498065500,1171.0,0.2774826673491050,0.0,43,44,44,44,47,49,110,160,170,170,170
POST,PPL Query: nfw/19_count_all_span_2d_1,133,0,32,35.092174835307000,28.254957986064300,162.59537503356100,1191.0,0.22232045034597000,0.0,32,33,33,34,35,40,99,150,160,160,160
POST,PPL Query: nfw/20_count_all_where_proto_span_2d,159,0,100.0,105.8774787739340,96.82899998733770,221.42887499649100,2052.0,0.2657815910151070,0.0,100,100,100,100,110,140,160,170,220,220,220
POST,PPL Query: nfw/21_sum_pkts_where_proto_span_2d,165,0,110.0,111.78619264921300,103.28895901329800,286.4703339873810,2091.0,0.27581108501567700,0.0,110,110,110,110,110,120,160,170,290,290,290
POST,PPL Query: nfw/22_sum_bytes_where_proto_span_2d,176,0,110.0,112.515567027334,103.48787502152800,297.082583012525,2126.0,0.29419849068338900,0.0,110,110,110,110,120,140,160,190,300,300,300
POST,PPL Query: nfw/23_count_all_2,160,0,23,23.43144187652800,19.046291010454300,31.684083049185600,604.0,0.26745317334853500,0.0,23,24,24,24,25,26,29,30,32,32,32
