nfw_non_calcite,,,,,,,,,,,,,,,,,,,,,
Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: nfw/01_sum_pkts_span_2d,172,0,43,45.10461676731800,40.67270801169800,121.10374995973000,1042.0,0.28660551936260200,0.0,43,44,45,45,46,48,77,120,120,120,120
POST,PPL Query: nfw/02_sum_bytes_span_2d,150,0,43,46.60640588030220,40.38387502077970,269.13058396894500,1067.0,0.24994667386273400,0.0,43,44,44,45,46,47,130,170,270,270,270
POST,PPL Query: nfw/03_sum_pkts_span_2d_1,178,0,43,45.557213443255600,40.27208295883610,153.81120902020500,1041.0,0.296603386317111,0.0,43,44,44,45,46,50,110,120,150,150,150
POST,PPL Query: nfw/04_sum_bytes_span_2d_1,150,0,43,45.89750807848760,40.189624996855900,137.95100001152600,1056.0,0.24994667386273400,0.0,43,44,44,45,46,52,120,140,140,140,140
POST,PPL Query: nfw/05_sum_pkts,140,0,27,28.43210649194330,23.614457983057900,205.0144590321000,935.0,0.23328356227188500,0.0,27,27,28,28,29,32,48,56,210,210,210
POST,PPL Query: nfw/06_sum_pkts_1,164,0,27,31.208088658764300,23.491083993576500,225.83654103800700,933.0,0.2732750300899230,0.0,27,27,28,28,30,37,94,200,230,230,230
POST,PPL Query: nfw/07_sum_pkts_span_2d_2,168,0,47,49.468808952951800,43.87854196829720,248.56133305002000,1822.0,0.27994027472626200,0.0,47,48,48,48,50,53,69,120,250,250,250
POST,PPL Query: nfw/08_sum_bytes_span_2d_2,171,0,47,50.04569637787950,44.3636670242995,241.55625002458700,1871.0,0.28493920820351700,0.0,47,48,48,49,50,54,95,160,240,240,240
POST,PPL Query: nfw/09_count_all_where_action_span_2d,136,0,16,18.402825633101600,13.85058299638330,272.5046249688600,260.0,0.22661831763554500,0.0,17,17,18,18,18,19,22,24,270,270,270
POST,PPL Query: nfw/11_count_all_where_action_span_2d_2,148,0,17,19.579760959950900,13.63858295371760,191.90029194578500,260.0,0.2466140515445640,0.0,17,17,18,18,19,22,84,110,190,190,190
POST,PPL Query: nfw/15_count_all,155,0,17,20.519889768348200,14.376292005181300,197.80529098352400,430.0,0.25827822965815800,0.0,17,18,19,19,20,22,53,140,200,200,200
POST,PPL Query: nfw/16_count_all_1,173,0,17,17.402258684799500,13.77808302640920,70.09979203576220,335.0,0.28827183052168700,0.0,17,17,18,18,19,20,24,43,70,70,70
POST,PPL Query: nfw/18_count_all_span_2d,184,0,44,46.5238678029298,40.05029099062090,264.20195802347700,1161.0,0.30660125327162000,0.0,44,44,45,45,46,48,91,220,260,260,260
POST,PPL Query: nfw/19_count_all_span_2d_1,158,0,18,20.780459111571100,14.523666992317900,191.88945804489800,1191.0,0.2632771631354130,0.0,18,18,19,19,20,23,100,150,190,190,190
POST,PPL Query: nfw/20_count_all_where_proto_span_2d,149,0,49,51.605497757613600,45.522416010499,253.99762496817900,2046.0,0.2482803627036490,0.0,49,49,50,50,51,53,140,170,250,250,250
POST,PPL Query: nfw/21_sum_pkts_where_proto_span_2d,149,0,50,50.537553464684400,46.883625036571200,97.12429199134930,2097.0,0.2482803627036490,0.0,50,51,51,51,52,53,63,77,97,97,97
POST,PPL Query: nfw/22_sum_bytes_where_proto_span_2d,156,0,49,49.85242440866740,45.782749948557500,74.99016699148340,2138.0,0.25994454081724300,0.0,50,50,51,51,52,53,54,65,75,75,75
POST,PPL Query: nfw/23_count_all_2,160,0,18,20.82586699143580,15.036083001177800,115.94754195539300,604.0,0.2666097854535830,0.0,18,19,19,19,21,31,83,100,120,120,120
POST,PPL Query: nfw/24_count_all_where_proto_span_2d_1,171,0,48,52.1401466389203,44.775832968298300,298.86904096929400,2062.0,0.28493920820351700,0.0,48,49,50,50,51,59,71,270,300,300,300
POST,PPL Query: nfw/25_sum_pkts_where_proto_span_2d_1,155,0,50,49.893397575004000,45.917083974927700,59.77583397179840,2120.0,0.25827822965815800,0.0,50,50,51,51,52,53,57,59,60,60,60
POST,PPL Query: nfw/26_sum_bytes_where_proto_span_2d_1,155,0,49,50.26975051544970,46.19245801586660,124.4644169928510,2150.0,0.25827822965815800,0.0,49,50,51,51,52,54,60,65,120,120,120
POST,PPL Query: nfw/27_count_all_where_proto_span_1d,166,0,49,52.0234849266792,45.382666983641700,169.36320898821600,2042.0,0.27660765240809200,0.0,49,49,50,50,52,55,120,160,170,170,170
POST,PPL Query: nfw/28_count_all_where_action,172,0,17,17.035029538525400,13.594583026133500,40.74295802274720,361.0,0.28660551936260200,0.0,17,17,18,18,19,20,27,27,41,41,41
POST,PPL Query: nfw/29_count_all_where_action_1,159,0,17,18.45863550343500,13.818749983329300,131.4813339849930,361.0,0.264943474294498,0.0,17,17,18,18,19,20,30,83,130,130,130
POST,PPL Query: nfw/30_count_all_where_action_2,177,0,17,17.994624714164500,14.220874989405300,134.2820000136270,210.0,0.2949370751580260,0.0,17,18,18,18,19,20,32,74,130,130,130
POST,PPL Query: nfw/31_count_all_where_action_3,170,0,17,18.142849513370700,13.954583031591000,106.1948339920490,211.0,0.2832728970444320,0.0,17,17,18,18,19,20,36,84,110,110,110
POST,PPL Query: nfw/32_count_all_where_action_4,147,0,17,17.016971135372600,13.46270798239860,26.497667015064500,280.0,0.24494774038547900,0.0,17,18,18,18,19,20,21,22,26,26,26
POST,PPL Query: nfw/33_count_all_where_action_span_2d_4,165,0,17,21.2477674122166,14.008165977429600,266.19624998420500,560.0,0.2749413412490070,0.0,17,18,18,19,20,23,83,200,270,270,270
POST,PPL Query: nfw/34_count_all_where_action_span_2d_5,151,0,17,19.602265151522900,14.099791995249700,249.45287499576800,560.0,0.2516129850218190,0.0,17,18,18,18,19,21,26,89,250,250,250
POST,PPL Query: nfw/35_count_all_where_action_span_2d_6,149,0,17,17.926299469483000,13.868790993001300,112.27145802695300,560.0,0.2482803627036490,0.0,17,18,18,18,19,20,29,44,110,110,110
POST,PPL Query: nfw/36_count_all_where_proto_span_2d_2,179,0,51,53.65176600281820,47.6689159986563,296.36537499027300,2328.0,0.29826969747619600,0.0,51,52,52,53,53,61,81,150,300,300,300
POST,PPL Query: nfw/37_count_all_where_proto_span_2d_3,157,0,51,52.40435458409780,47.322124999482200,156.5710409777240,2332.0,0.2616108519763280,0.0,51,52,52,53,53,55,74,120,160,160,160
,Aggregated,5949,652,27,156.506733350252,13.46270798239860,17315.09433296740,5572.8754412506300,9.912885085396030,0.0,27,45,48,49,51,53,230,4900,17000,17000,17000
