Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,11.63% faster,45216,45058,52,46,13.04%,52.716023895563424,46.584118361813196,13.16%,31.727500027045608,29.863915871828794,6.24%,433.1489170435816,409.8287911619991,5.69%,63,55,14.55%,70,62,12.90%,31.41205651220375,31.95139718533163,-1.69%,0,0
PPL Query: vpc/01_count_all,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count(),Non-Calcite,0.76% faster,2937,3058,42,41,2.44%,42.252590438077696,41.931098279378155,0.77%,31.727500027045608,30.60329193249345,3.67%,313.45512508414686,291.8401251081377,7.41%,49,49,0.00%,54,56,-3.57%,2.0403664626756552,2.168480016706115,-5.91%,0,0
PPL Query: vpc/02_count_all_1,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by aws.vpc.action | SORT - Count | HEAD 5,Non-Calcite,12.54% faster,3028,2994,49,43,13.95%,49.90646364562561,43.64655948340154,14.34%,37.439666921272874,31.895457999780774,17.38%,285.9225000720471,288.3874580729753,-0.85%,56,50,12.00%,64,57,12.28%,2.103585171597509,2.123096523877733,-0.92%,0,0
PPL Query: vpc/03_count_all_span_30d,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() by span(@timestamp, 30d)",Non-Calcite,7.33% faster,2981,3038,46,43,6.98%,46.80794482438049,43.375810277875125,7.91%,35.08283384144306,30.38266720250249,15.47%,332.20824995078146,334.857959067449,-0.79%,53,49,8.16%,58,56,3.57%,2.070933750506002,2.154297675197246,-3.87%,0,0
PPL Query: vpc/04_count_all_2,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by `aws.vpc.flow-direction` | SORT - Count | HEAD 5,Non-Calcite,12.03% faster,3064,2897,49,43,13.95%,49.27831858357928,43.34781535490923,13.68%,37.26279200054705,29.863915871828794,24.78%,371.4067090768367,314.6280830260366,18.05%,55,50,10.00%,62,59,5.08%,2.128594770731429,2.054312167559717,3.62%,0,0
PPL Query: vpc/05_sum_bytes_span_30d,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS sum(aws.vpc.bytes) by span(@timestamp, 30d)",Non-Calcite,11.80% faster,3013,2961,48,42,14.29%,48.73125162671101,42.9793150497274,13.38%,38.186792051419616,31.96779196150601,19.45%,226.75279201939702,260.3007089346647,-12.89%,55,49,12.24%,59,59,0.00%,2.0931645052917087,2.099695660388099,-0.31%,0,0
PPL Query: vpc/06_sum_packets_span_30d,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS sum(aws.vpc.packets) by span(@timestamp, 30d)",Non-Calcite,11.60% faster,3032,2947,48,43,11.63%,49.12142012961575,43.42180867494543,13.13%,35.68495903164148,30.13862483203411,18.40%,345.5385831184685,397.2394580487162,-13.02%,55,49,12.24%,61,59,3.39%,2.106364015945722,2.0897680213318903,0.79%,0,0
PPL Query: vpc/07_count_all_3,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by `aws.vpc.pkt-src-aws-service` | SORT - Count | HEAD 10,Non-Calcite,11.75% faster,3088,2991,49,43,13.95%,49.16998774381451,43.394484851149386,13.31%,37.773249903693795,32.152000116184354,17.48%,284.7954591270536,287.6734589226544,-1.00%,55,50,10.00%,60,57,5.26%,2.145267836820709,2.1209691726514026,1.15%,0,0
PPL Query: vpc/08_count_all_4,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by `aws.vpc.pkt-dst-aws-service` | SORT - Count | HEAD 10,Non-Calcite,11.90% faster,3053,3035,49,43,13.95%,49.34002515537157,43.470270156743744,13.50%,36.819790955632925,31.436665914952755,17.12%,337.1810419484973,336.65937511250377,0.15%,56,50,12.00%,62,61,1.64%,2.120952948773842,2.1521703239709153,-1.45%,0,0
PPL Query: vpc/09_sum_bytes,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.bytes`) as Bytes by `aws.vpc.dstaddr` | sort - Bytes | head 10,Non-Calcite,14.53% faster,2988,3092,59,50,18.00%,59.599481974750226,50.93806077404499,17.00%,47.68329206854105,39.397332817316055,21.03%,355.1571660209447,409.8287911619991,-13.34%,66,57,15.79%,74,68,8.82%,2.075796728115375,2.1925899972711926,-5.33%,0,0
PPL Query: vpc/10_sum_bytes_1,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.bytes`) as Bytes by `aws.vpc.srcaddr` | sort - Bytes | head 10,Non-Calcite,15.30% faster,2996,3029,59,50,18.00%,59.651980918268855,50.52530125837211,18.06%,48.237666953355074,39.051791885867715,23.52%,433.1489170435816,336.59075014293194,28.69%,66,57,15.79%,73,64,14.06%,2.081354416811802,2.1479156215182544,-3.10%,0,0
PPL Query: vpc/11_sum_packets,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.packets`) as Packets by `aws.vpc.srcaddr` | sort - Packets | head 10,Non-Calcite,15.57% faster,3051,2982,59,50,18.00%,59.74655666602858,50.44505608893961,18.44%,48.52704191580415,38.10183401219547,27.36%,357.3794581461698,283.023500116542,26.27%,66,57,15.79%,77,65,18.46%,2.1195635265997357,2.1145871189724117,0.24%,0,0
PPL Query: vpc/12_sum_packets_1,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.packets`) as Packets by `aws.vpc.dstaddr` | sort - Packets | head 10,Non-Calcite,14.80% faster,2867,2994,59,50,18.00%,59.81875063587054,50.966513161961196,17.37%,47.75808285921812,38.96270808763802,22.57%,325.97087509930134,342.41933305747807,-4.80%,66,57,15.79%,75,67,11.94%,1.9917366865819213,2.123096523877733,-6.19%,0,0
PPL Query: vpc/13_count_all_5,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by aws.vpc.srcaddr | SORT - Count | HEAD 10,Non-Calcite,9.38% faster,2992,2975,55,49,12.24%,55.359501287140034,50.167485544958915,10.35%,43.30741707235575,38.33370911888778,12.97%,432.91654204949737,348.6032919026911,24.19%,61,56,8.93%,68,65,4.62%,2.078575572463589,2.109623299444307,-1.47%,0,0
PPL Query: vpc/14_count_all_6,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats count() as Requests by `aws.vpc.dstaddr` | sort - Requests | head 10,Non-Calcite,9.82% faster,3033,2971,54,49,10.20%,54.98627558190276,49.586698710927834,10.89%,43.077291222289205,38.963583996519446,10.56%,315.421124920249,348.51254196837544,-9.50%,61,56,8.93%,74,63,17.46%,2.1070587270327756,2.1067868311425335,0.01%,0,0
PPL Query: vpc/15_count_all_7,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats count() as Count by aws.vpc.dstaddr, aws.vpc.srcaddr | sort - Count | head 100",Non-Calcite,11.91% faster,3093,3094,56,50,12.00%,57.10951752483127,50.305723403122954,13.52%,44.02600019238889,38.86029194109142,13.29%,416.35291604325175,226.47912497632205,83.84%,63,57,10.53%,73,63,15.87%,2.148741392255976,2.1940082314220795,-2.06%,0,0
