Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: vpc/01_count_all,4333,0,75,78.48313589909856,70.31162502244115,436.39408401213586,157.0,2.419785951374178,0.0,75,78,83,84,88,90,92,94,370,440,440
POST,PPL Query: vpc/02_count_all_1,4302,0,81,84.72615929090114,75.82074985839427,470.02533404156566,284.0,2.4024738432521846,0.0,81,86,89,91,94,96,98,99,310,470,470
POST,PPL Query: vpc/03_count_all_span_30d,4283,0,78,81.6930189434967,72.82404112629592,450.9262079373002,263.0,2.3918631963387043,0.0,78,81,86,88,91,93,95,96,400,450,450
POST,PPL Query: vpc/04_count_all_2,4250,0,81,84.53146491133991,75.2756658475846,412.3239580076188,293.0,2.3734341780152914,0.0,81,85,89,91,94,96,98,100,390,410,410
POST,PPL Query: vpc/05_sum_bytes_span_30d,4258,0,81,83.88625894109519,75.34720795229077,378.09191714040935,278.0,2.377901818820967,0.0,81,85,89,90,93,96,98,100,240,380,380
POST,PPL Query: vpc/06_sum_packets_span_30d,4296,0,80,83.84391396288895,75.2093328628689,454.8992090858519,278.0,2.3991231126479273,0.0,80,84,88,90,93,96,98,99,340,450,450
POST,PPL Query: vpc/07_count_all_3,4353,0,81,84.45617938348961,74.96954197995365,441.62416690960526,516.0,2.430955053388368,0.0,81,84,89,90,94,96,98,100,390,440,440
POST,PPL Query: vpc/08_count_all_4,4244,0,81,84.20515781097092,75.06358297541738,485.8826668933034,477.0,2.3700834474110346,0.0,81,85,89,90,93,95,98,100,390,490,490
POST,PPL Query: vpc/09_sum_bytes,4420,0,91,94.29099995387945,84.1839169152081,451.54566690325737,690.0,2.468371545135903,0.0,91,94,98,100,100,110,110,110,390,450,450
POST,PPL Query: vpc/10_sum_bytes_1,4203,0,92,94.69586574609205,84.17166699655354,467.8853331133723,686.0,2.3471867882819457,0.0,92,95,99,100,100,110,110,110,380,470,470
POST,PPL Query: vpc/11_sum_packets,4096,0,91,94.27910963506747,84.02570802718401,467.69595798105,666.0,2.2874320925060316,0.0,91,94,99,100,100,110,110,110,390,470,470
POST,PPL Query: vpc/12_sum_packets_1,4251,0,91,94.38694379731909,84.15370807051659,463.7213749811053,669.0,2.373992633116001,0.0,91,95,99,100,100,110,110,110,320,460,460
POST,PPL Query: vpc/13_count_all_5,4275,0,87,90.09229111648573,80.20933298394084,424.60924992337823,645.0,2.3873955555330286,0.0,87,90,95,96,99,100,100,110,160,420,420
POST,PPL Query: vpc/14_count_all_6,4316,0,87,89.82511069200523,79.87929205410182,452.4185408372432,645.0,2.410292214662117,0.0,87,89,94,96,99,100,100,110,410,450,450
POST,PPL Query: vpc/15_count_all_7,4270,0,88,91.45263963072523,81.3276250846684,455.170749919489,6310.0,2.384603280029481,0.0,88,91,96,97,100,100,110,110,340,460,460
,Aggregated,64150,0,87,87.63221267120447,70.31162502244115,485.8826668933034,855.9950740452066,35.82489471051316,0.0,87,90,92,93,99,100,110,110,380,450,490
