Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: vpc/01_count_all,4146,0,74,78.4912150464049,69.52062505297363,420.2382918447256,157.0,2.302872391737383,0.0,74,80,84,85,89,91,92,93,340,420,420
POST,PPL Query: vpc/02_count_all_1,4410,0,75,79.27271289652732,70.30516699887812,460.8364999294281,284.0,2.4495097075643653,0.0,75,81,85,86,90,92,93,94,340,460,460
POST,PPL Query: vpc/03_count_all_span_30d,4286,0,74,78.46708968379528,69.52500017359853,454.90812510252,263.0,2.380634604675934,0.0,74,80,84,85,89,91,93,94,300,450,450
POST,PPL Query: vpc/04_count_all_2,4269,0,74,78.4039370678313,70.20374992862344,410.5335830245167,293.0,2.3711920502476813,0.0,74,80,84,85,89,91,93,94,150,410,410
POST,PPL Query: vpc/05_sum_bytes_span_30d,4227,0,74,78.6481403042537,69.56504099071026,399.3707909248769,278.0,2.3478633863661162,0.0,74,81,84,85,89,91,93,93,350,400,400
POST,PPL Query: vpc/06_sum_packets_span_30d,4303,0,74,78.62597521386483,69.34929103590548,470.02291586250067,278.0,2.390077159104187,0.0,74,80,84,85,89,91,93,93,360,470,470
POST,PPL Query: vpc/07_count_all_3,4359,0,74,78.61531530203519,69.42716706544161,379.3588748667389,516.0,2.421182044279607,0.0,74,80,84,85,89,91,93,94,340,380,380
POST,PPL Query: vpc/08_count_all_4,4295,0,75,78.73248750353676,70.0084581039846,439.8050410673022,477.0,2.3856336040791266,0.0,75,80,84,86,89,91,93,94,350,440,440
POST,PPL Query: vpc/09_sum_bytes,4349,0,82,86.08072286040861,77.16425019316375,498.97616589441895,690.0,2.415627600498282,0.0,82,87,91,93,96,99,100,100,400,500,500
POST,PPL Query: vpc/10_sum_bytes_1,4438,0,82,86.27173195214486,76.96824986487627,483.42175013385713,686.0,2.4650621501520753,0.0,82,88,92,93,96,99,100,100,390,480,480
POST,PPL Query: vpc/11_sum_packets,4357,0,82,86.24228867500189,77.25537498481572,439.2263749614358,666.0,2.4200711555233423,0.0,82,88,92,93,96,98,100,100,370,440,440
POST,PPL Query: vpc/12_sum_packets_1,4274,0,82,86.02609203250884,77.1412078756839,439.841500017792,669.0,2.373969272138344,0.0,82,88,91,93,96,99,100,100,330,440,440
POST,PPL Query: vpc/13_count_all_5,4274,0,82,85.54260686093747,76.50916697457433,443.1848330423236,645.0,2.373969272138344,0.0,82,87,91,93,96,98,100,100,350,440,440
POST,PPL Query: vpc/14_count_all_6,4295,0,81,84.88034147691151,76.05145894922316,462.8735419828445,645.0,2.3856336040791266,0.0,81,85,90,92,96,98,99,100,350,460,460
POST,PPL Query: vpc/15_count_all_7,4258,0,82,85.72467322791141,77.02279114164412,444.26104077138007,6310.0,2.365082162088224,0.0,82,86,91,93,96,99,100,100,320,440,440
,Aggregated,64540,0,81,82.01898132976281,69.34929103590548,498.97616589441895,854.5402386117137,35.848380164672136,0.0,81,83,87,89,93,96,99,100,360,460,500
