Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,7.87% faster,1044,1009,47,42,11.90%,57.53991694125602,53.008813957393684,8.55%,31.079834006959572,30.93816598993726,0.46%,241.1164170189295,251.99470901861787,-4.32%,170,170,0.00%,210,200,5.00%,12.876424623103047,12.722638586325395,1.21%,0,0
PPL Query: waf/01_count_all,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count(),Calcite,1.09% faster,111,108,42,40,5.00%,52.04704910860741,52.61884292687884,-1.09%,31.079834006959572,31.97062501567416,-2.79%,188.70904197683558,217.17020799405873,-13.11%,160,170,-5.88%,180,210,-14.29%,1.369045146709232,1.3617888675155032,0.53%,0,0
PPL Query: waf/02_count_all_span_30d,"SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as Count by span(@timestamp, 30d), aws.waf.action | rename aws.waf.action as Action | SORT - Count	| HEAD 5",Non-Calcite,9.89% faster,110,111,48,41,17.07%,56.89188674653203,51.262621574055586,10.98%,38.29054199741222,31.062541995197535,23.27%,185.4418339789845,228.83566599921323,-18.96%,160,180,-11.11%,180,190,-5.26%,1.3567114066487884,1.3996163360576006,-3.07%,0,0
PPL Query: waf/03_count_all_1,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as `Count` by `aws.waf.webaclId` | SORT - `Count` | HEAD 10,Non-Calcite,12.07% faster,126,102,50,45,11.11%,61.49413951673537,54.074305951122795,13.72%,40.117124997777864,36.280250002164394,10.58%,200.3602090117056,219.35162498266436,-8.66%,180,77,133.77%,190,210,-9.52%,1.554051247615885,1.2861339304313086,20.83%,0,0
PPL Query: waf/04_count_all_2,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as Count by `aws.waf.httpSourceId` | SORT - Count | Head 5,Calcite,6.42% faster,103,116,48,45,6.67%,56.711397213449935,60.60202731796067,-6.42%,41.63616700679995,37.14187498553656,12.10%,212.38254199852236,230.35608298960142,-7.80%,86,180,-52.22%,200,220,-9.09%,1.2703752262256838,1.462662116961096,-13.15%,0,0
PPL Query: waf/05_count_all_3,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as `Count` by `aws.waf.httpRequest.clientIp` | SORT - `Count` | HEAD 10,Non-Calcite,14.13% faster,114,118,50,45,11.11%,63.110009842938254,54.194455135414394,16.45%,40.05816701101139,35.33970800344832,13.35%,224.82312499778345,198.55795800685883,13.23%,190,130,46.15%,200,190,5.26%,1.4060463668905627,1.4878804293224943,-5.50%,0,0
PPL Query: waf/06_count_all_4,SOURCE = flint_new_data_source_default_aws_waf__mview | STATS count() as Count by `aws.waf.httpRequest.country` | SORT - Count,Non-Calcite,15.65% faster,121,129,44,41,7.32%,53.02590946402316,44.72971288351948,18.55%,35.49270800431259,30.93816598993726,14.72%,212.2195000119973,200.5693330138456,5.81%,150,60,150.00%,210,170,23.53%,1.4923825473136674,1.6265811473101843,-8.25%,0,0
PPL Query: waf/07_count_all_5,SOURCE = flint_new_data_source_default_aws_waf__mview | stats count() as Count by `aws.waf.terminatingRuleId` | sort - Count | head 10,Non-Calcite,16.69% faster,125,102,50,44,13.64%,61.14626298402436,50.941719814527815,20.03%,41.21087500243448,37.04454199760221,11.25%,208.5077500087209,189.99595800414681,9.74%,170,68,150.00%,210,180,16.67%,1.5417175075554415,1.2861339304313086,19.87%,0,0
PPL Query: waf/08_count_all_where_action,"SOURCE = flint_new_data_source_default_aws_waf__mview | WHERE aws.waf.action = ""BLOCK"" | STATS count() as `Total Blocked Requests`",Non-Calcite,8.84% faster,111,117,43,40,7.50%,58.512343189716844,53.33713390720156,9.70%,33.05570798693225,32.37445800914429,2.10%,241.1164170189295,251.99470901861787,-4.32%,180,180,0.00%,220,220,0.00%,1.369045146709232,1.4752712731417952,-7.20%,0,0
PPL Query: waf/09_count_all_6,SOURCE = flint_new_data_source_default_aws_waf__mview | stats count() as Count by `aws.waf.httpRequest.uri` | sort - Count | head 10,Calcite,3.25% faster,123,106,46,39,17.95%,54.45511111463382,56.28220868030045,-3.25%,36.81079199304804,31.9092909921892,15.36%,211.6936250240542,189.46233301539905,11.73%,110,170,-35.29%,200,180,11.11%,1.5170500274345544,1.336570555154105,13.50%,0,0
