Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: waf/01_count_all,111,0,42,52.04704910860741,31.079834006959572,188.70904197683558,157.0,1.369045146709232,0.0,42,45,48,50,65,160,180,180,190,190,190
POST,PPL Query: waf/02_count_all_span_30d,110,0,48,56.89188674653203,38.29054199741222,185.4418339789845,629.0,1.3567114066487884,0.0,48,52,54,58,73,160,180,180,190,190,190
POST,PPL Query: waf/03_count_all_1,126,0,50,61.49413951673537,40.117124997777864,200.3602090117056,1228.0,1.554051247615885,0.0,50,53,56,58,72,180,190,190,200,200,200
POST,PPL Query: waf/04_count_all_2,103,0,48,56.711397213449935,41.63616700679995,212.38254199852236,430.0,1.2703752262256838,0.0,48,51,53,54,62,86,190,200,210,210,210
POST,PPL Query: waf/05_count_all_3,114,0,50,63.110009842938254,40.05816701101139,224.82312499778345,617.0,1.4060463668905627,0.0,50,53,57,59,89,190,200,200,220,220,220
POST,PPL Query: waf/06_count_all_4,121,0,44,53.02590946402316,35.49270800431259,212.2195000119973,567.0,1.4923825473136674,0.0,44,47,49,49,55,150,180,210,210,210,210
POST,PPL Query: waf/07_count_all_5,125,0,50,61.14626298402436,41.21087500243448,208.5077500087209,655.0,1.5417175075554415,0.0,50,52,54,56,70,170,210,210,210,210,210
POST,PPL Query: waf/08_count_all_where_action,111,0,43,58.512343189716844,33.05570798693225,241.1164170189295,171.0,1.369045146709232,0.0,43,46,48,51,84,180,210,220,240,240,240
POST,PPL Query: waf/09_count_all_6,123,0,46,54.45511111463382,36.81079199304804,211.6936250240542,538.0,1.5170500274345544,0.0,46,49,51,52,63,110,190,200,210,210,210
,Aggregated,1044,0,47,57.53991694125602,31.079834006959572,241.1164170189295,566.676245210728,12.876424623103047,0.0,47,51,53,55,70,170,190,210,220,240,240
