Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: waf/01_count_all,108,0,40,52.61884292687884,31.97062501567416,217.17020799405873,157.0,1.3617888675155032,0.0,40,42,45,48,78,170,200,210,220,220,220
POST,PPL Query: waf/02_count_all_span_30d,111,0,41,51.262621574055586,31.062541995197535,228.83566599921323,629.0,1.3996163360576006,0.0,41,44,46,48,59,180,190,190,230,230,230
POST,PPL Query: waf/03_count_all_1,102,0,45,54.074305951122795,36.280250002164394,219.35162498266436,1228.0,1.2861339304313086,0.0,46,48,50,52,57,77,210,210,220,220,220
POST,PPL Query: waf/04_count_all_2,116,0,45,60.60202731796067,37.14187498553656,230.35608298960142,430.0,1.462662116961096,0.0,45,49,51,53,160,180,200,220,230,230,230
POST,PPL Query: waf/05_count_all_3,118,0,45,54.194455135414394,35.33970800344832,198.55795800685883,617.0,1.4878804293224943,0.0,45,48,50,52,73,130,190,190,200,200,200
POST,PPL Query: waf/06_count_all_4,129,0,41,44.72971288351948,30.93816598993726,200.5693330138456,567.0,1.6265811473101843,0.0,41,43,45,46,55,60,98,170,200,200,200
POST,PPL Query: waf/07_count_all_5,102,0,44,50.941719814527815,37.04454199760221,189.99595800414681,655.0,1.2861339304313086,0.0,45,47,49,50,60,68,170,180,190,190,190
POST,PPL Query: waf/08_count_all_where_action,117,0,40,53.33713390720156,32.37445800914429,251.99470901861787,171.0,1.4752712731417952,0.0,40,44,46,48,67,180,200,220,250,250,250
POST,PPL Query: waf/09_count_all_6,106,0,39,56.28220868030045,31.9092909921892,189.46233301539905,538.0,1.336570555154105,0.0,39,43,48,51,160,170,180,180,190,190,190
,Aggregated,1009,0,42,53.008813957393684,30.93816598993726,251.99470901861787,546.7839444995045,12.722638586325395,0.0,42,46,48,50,64,170,190,200,230,250,250
